method,entity_type,site,probe,layer,test_r2,test_spearman,train_r2,is_best
qwen3_32b,world_place,last,ridge,21,0.7328369858720827,0.845076274578392,0.7995354590448105,False
qwen3_32b,world_place,last,ridge,23,0.7307581095825626,0.8431222383020914,0.798872431007728,False
qwen3_32b,world_place,last,ridge,25,0.7360769824271312,0.8450946769931932,0.8026178541249135,False
qwen3_32b,world_place,last,ridge,27,0.797268118652113,0.8832683640447041,0.838342373912504,False
qwen3_32b,world_place,last,ridge,29,0.8065644194316466,0.8869379165257537,0.8462262366198695,False
qwen3_32b,world_place,last,ridge,31,0.8094400792173428,0.8877298141150669,0.8484805008818705,False
qwen3_32b,world_place,last,ridge,33,0.8223175335257666,0.8984551167592131,0.8580065322569417,False
qwen3_32b,world_place,last,ridge,35,0.8169762816232362,0.8945834349581521,0.8553061914205924,False
qwen3_32b,world_place,last,ridge,37,0.8097535305643311,0.8887221246500013,0.8497573172110251,False
qwen3_32b,world_place,last,ridge,39,0.8152307001254655,0.8885089329788867,0.8630390184096914,False
qwen3_32b,world_place,last,ridge,41,0.8058604983941304,0.8828783874809074,0.8524594993685655,False
qwen3_32b,world_place,last,ridge,43,0.7954992256046658,0.8772217202874314,0.8410216603099281,False
qwen3_32b,world_place,last,ridge,45,0.7860008036550922,0.8718254771488423,0.8321840684042374,False
qwen3_32b,world_place,last,ridge,47,0.7824125082717204,0.8693558302224567,0.8279463931849025,False
qwen3_32b,world_place,last,ridge,49,0.7863847033423754,0.8718459547899163,0.8326708023534979,False
qwen3_32b,world_place,last,ridge,51,0.8225086825674404,0.8935922881441885,0.866260625453899,False
qwen3_32b,world_place,last,ridge,53,0.8282834159145585,0.8985374094252551,0.8667387631194234,False
qwen3_32b,world_place,last,ridge,55,0.8279843529576939,0.8975603649532917,0.874218627133515,False
qwen3_32b,world_place,last,ridge,57,0.8380142552555736,0.9022675977873753,0.8890569632259282,True
qwen3_32b,world_place,last,ridge,59,0.8342650854171418,0.8990550641711028,0.890193187127037,False
qwen3_32b,world_place,last,ridge,61,0.8273831583827131,0.8943027519108859,0.8865365126007946,False
qwen3_32b,world_place,last,ridge,63,0.8174569919518989,0.8879660477606702,0.8795095171016736,False
qwen3_32b,world_place,last,ridge,64,0.8309784113159917,0.9030167380315264,0.8666790132600996,False
qwen3_32b,world_place,mean,ridge,1,0.5581993155012943,0.7252982968814041,0.6713359109416996,False
qwen3_32b,world_place,mean,ridge,3,0.5894378014531888,0.7443866940860726,0.6706311007776227,False
qwen3_32b,world_place,mean,ridge,5,0.6160682288954881,0.7630711886416204,0.7078624893953608,False
qwen3_32b,world_place,mean,ridge,7,0.7031526132276421,0.8253857710358804,0.7625910049040439,False
qwen3_32b,world_place,mean,ridge,9,0.7267232798626593,0.8412256371289835,0.7873406358519366,False
qwen3_32b,world_place,mean,ridge,11,0.7246015849649776,0.8381119255210626,0.7917415761540221,False
qwen3_32b,world_place,mean,ridge,13,0.7331620880656537,0.8472057273299369,0.7838108582466589,False
qwen3_32b,world_place,mean,ridge,15,0.7727276518084851,0.8690666773324591,0.8160334753626142,False
qwen3_32b,world_place,mean,ridge,17,0.7789561564427989,0.8725590855570943,0.820059980262803,False
qwen3_32b,world_place,mean,ridge,19,0.7785737967706099,0.868410188966569,0.8361369259146108,False
qwen3_32b,world_place,mean,ridge,21,0.7806399387165737,0.8692490192350093,0.8370802106175719,False
qwen3_32b,world_place,mean,ridge,23,0.7835517926223037,0.8704716604407043,0.8388473534466592,False
qwen3_32b,world_place,mean,ridge,25,0.789621558877315,0.8737222462640066,0.8447931345390556,False
qwen3_32b,world_place,mean,ridge,27,0.8049421910617217,0.8836117697665294,0.8558056025220707,False
qwen3_32b,world_place,mean,ridge,29,0.811668982287301,0.8901016869208014,0.8475581966772514,False
qwen3_32b,world_place,mean,ridge,31,0.8123505976875764,0.8897233320215221,0.8487873828497949,False
qwen3_32b,world_place,mean,ridge,33,0.8230277974841269,0.8983770117172649,0.8576533996977637,False
