arm,entity_type,site,rows,layer,n,n_entities,is_control,ridge_mc_r2,ridge_mc_r2_sd,ridge_mc_rho,ridge_mc_rho_sd,pls5_mc_r2,pls5_mc_r2_sd,pls5_mc_rho,pls5_mc_rho_sd,ridge_holdout_r2,ridge_holdout_rho
qwen3_8b,assyrian_ruler,last,bare,26,34,34,False,0.21543091932201178,0.7648943301185381,0.5958928571428572,0.23707877522727616,0.22938259274480535,0.704062597943519,0.5758928571428572,0.2435896908738135,0.14478620517503238,0.14285714285714288
qwen3_1b7,assyrian_ruler,last,bare,25,34,34,False,0.04741292096469471,1.0300486822732098,0.46071428571428585,0.3319123624189534,0.030906314037457746,0.9353581687939838,0.4385714285714286,0.33917592208535235,0.31932705961199825,0.3214285714285715
thalesian_cunei400m,assyrian_ruler,last,bare,12,34,34,False,0.032173072293079134,0.8539516949258198,0.45571428571428585,0.3411273327408069,-0.04912693892503708,1.0778612860677594,0.4162500000000001,0.3553454323267857,-0.33239938753009346,0.5
thalesian_akk300m,assyrian_ruler,last,bare,7,34,34,False,-0.02192072116374918,0.9367929003599265,0.4883928571428573,0.3295199333569851,-0.049758180394404786,1.1872101177139522,0.4417857142857144,0.332915958936014,-0.2879675197079541,0.14285714285714288
umt5_base,assyrian_ruler,last,bare,1,34,34,False,-0.11565051506678792,0.8825715759867644,0.39160714285714293,0.33655626747019496,-0.4577229718517404,1.4459165258806652,0.2814285714285715,0.37030324032597717,-0.29021210213571647,0.0
random,assyrian_ruler,last,bare,22,34,34,True,-0.315313332487771,1.2496549629218658,0.17125000000000007,0.38906116557840176,-0.30791851042239843,1.2502182219282305,0.1741071428571429,0.3936993812620519,-0.8764325611388362,-0.25
llama2_7b_random,assyrian_ruler,last,bare,1,34,34,True,0.012443357163350917,0.8103201649226124,0.4733928571428572,0.29023208297808145,0.012413063391251793,0.8102874456993678,0.4741071428571429,0.29001094059236,-0.5103566592998376,0.14285714285714288
llama2_13b_random,assyrian_ruler,last,bare,1,34,34,True,-0.10793259393749598,1.0546439787956983,0.3885714285714286,0.3172659027712,-0.10410407895389785,1.0552776751903186,0.3889285714285715,0.31704933466614454,-0.6852028165954178,0.5714285714285715
llama2_70b_random,assyrian_ruler,last,bare,1,34,34,True,-0.053617396693221464,0.9442383212424221,0.45732142857142866,0.3285849667241989,-0.05020161448598378,0.9400071902602464,0.45714285714285724,0.32843553090246447,-0.6317511312399642,0.3214285714285715
olmo2_7b,assyrian_ruler,last,bare,22,34,34,False,0.05049009106220561,0.78522626093408,0.5264285714285716,0.30646186965268685,-0.041364692605948716,0.9346368915754405,0.4207142857142858,0.3302588656907593,0.01280604168613686,0.4642857142857144
olmo2_7b_random,assyrian_ruler,last,bare,3,34,34,False,-0.14822184177629588,0.9942218375398892,0.3814285714285715,0.3455393595230388,-0.11629516448101829,0.9839948839230496,0.38071428571428584,0.3446093618068116,-0.7350107683098546,-0.03571428571428572
llama2_70b,assyrian_ruler,mean,all,33,204,34,False,-0.05539907748600067,1.173855122114503,0.47629189247681547,0.302128870081963,-0.06363484261145481,1.3776871438783935,0.4902190154926963,0.28646246137718784,-0.1388601996718528,0.0009821666442793241
llama2_13b,assyrian_ruler,mean,all,14,204,34,False,-0.08274416370262569,1.3497770320906155,0.48062815821130866,0.31884361995186594,-0.22471977660266107,1.767770507763927,0.43286539430000515,0.31166633023789003,0.11075180169202281,0.4979584886496174
llama2_7b,assyrian_ruler,mean,all,1,204,34,False,-0.12227995013097322,1.2848342473397436,0.46673541102797755,0.2997267762015951,-0.29580396723822644,1.7716166333157162,0.44930195309201965,0.30643726542198696,0.044837328202419036,0.43608199006001996
gpt_oss_120b,assyrian_ruler,mean,all,9,204,34,False,0.013207058850764017,1.3196405229051225,0.5306400837380119,0.28845610553744383,-0.1126466084835129,1.5387511613502811,0.5016465243988861,0.28177863770307776,-0.8169331344642468,-0.048126165569686886
qwen3_32b,assyrian_ruler,mean,all,41,204,34,False,-0.11642539590831308,1.511600709543395,0.49829242530867235,0.30059842652982055,-0.1206522593682245,1.6470157208457203,0.4779222891063191,0.28516147597952957,-0.5128244218473212,-0.07955549818662526
qwen3_8b,assyrian_ruler,mean,all,36,204,34,False,-0.03826627626045191,1.6426447572338252,0.4974526728278134,0.30235291430894856,-0.08463054413524,1.8329516716749872,0.48409520646561466,0.2958912303604755,-0.11759411117752738,0.1532179965075746
qwen3_1b7,assyrian_ruler,mean,all,28,204,34,False,-0.33810550444325554,2.0653177714309687,0.362758339231347,0.3280484758505982,-0.320719510584376,2.1343013703712845,0.3822150604545203,0.30791781289285963,-0.4476371555139089,-0.05794783201248012
thalesian_cunei400m,assyrian_ruler,mean,all,12,204,34,False,-0.19893298165721174,1.3065090947827582,0.44142988743812084,0.2878350694781571,-0.21174373987003645,1.309144390077864,0.45874057454354394,0.28533554547082174,-0.17919291286406924,0.31134682623654575
thalesian_akk300m,assyrian_ruler,mean,all,8,204,34,False,-0.6596043952646525,1.4683546876629228,0.2300136064237749,0.3104875054154293,-0.49108732144230194,1.5766599985930192,0.32122742267799576,0.293149854079645,-1.2018252161940546,-0.23277349469419983
umt5_base,assyrian_ruler,mean,all,11,204,34,False,-0.27059767492381936,1.2820950225789995,0.3639762258702534,0.24921857411569076,-0.2561520802511717,1.05596992956751,0.35172860781609017,0.2383267824007679,-0.6808014254063566,0.06187649858959742
random,assyrian_ruler,mean,all,21,204,34,True,-0.5514850480562071,1.891960049557256,0.17486003851426946,0.2908063144614086,-0.4744586504718932,1.6226421033604415,0.17552300099915805,0.27115894980701116,-0.8294496682798826,0.11098483080356364
