arm,entity_type,site,layer,rows,n,n_entities,is_control,ridge_mc_r2,ridge_mc_r2_sd,ridge_mc_rho,ridge_mc_rho_sd,pls5_mc_r2,pls5_mc_r2_sd,pls5_mc_rho,pls5_mc_rho_sd,ridge_holdout_r2,ridge_holdout_rho
llama2_13b,mesopotamian_place,mean,29,bare,25,25,False,-0.6031781360121236,1.4020666672876836,0.23136854705079826,0.31713218874376264,-0.5801047879496414,1.3673754711944826,0.24304875104897924,0.31027978790635763,-0.6387639767224267,0.44999999999999996
llama2_13b,mesopotamian_place,mean,30,all,150,25,False,-0.31031382731003004,1.0037861145453097,0.43668780825477954,0.23445597087651057,-0.4523578297106247,1.2193406918993996,0.36630940837034737,0.22544163334111314,-0.1852964361467493,0.454769149796873
llama2_13b,mesopotamian_place,mean,30,bare,25,25,False,-0.6188514410869721,1.4433383829877593,0.23463153622684088,0.3184984599925473,-0.5806867849027537,1.357603889043277,0.24218998751903245,0.31600808647927736,-0.43558518843998545,0.6999999999999998
llama2_13b,mesopotamian_place,mean,31,all,150,25,False,-0.3397786834830754,1.0371635215618467,0.4320553703225221,0.23595768104659287,-0.47695791080603184,1.2433567117345665,0.3576602968096445,0.22499092320345232,-0.17331736514914542,0.46566182404350476
llama2_13b,mesopotamian_place,mean,31,bare,25,25,False,-0.602913735399031,1.3947764515510268,0.24184906328673442,0.3130107989976321,-0.5798439396355018,1.355296656749475,0.2548247294010644,0.3133801595364796,-0.5020827341702887,0.6999999999999998
llama2_13b,mesopotamian_place,mean,32,all,150,25,False,-0.34326918929582706,1.028542619767376,0.4324410778994362,0.23659670525354873,-0.4837076568689013,1.2391285164264099,0.3543349350053905,0.22488705857161254,-0.0742198876309017,0.4820008354134523
llama2_13b,mesopotamian_place,mean,32,bare,25,25,False,-0.6068795128725722,1.418387544355361,0.2521185470507983,0.3150187211582402,-0.5828024232964869,1.3807688604654191,0.2702094712830963,0.3132700554189384,-0.4380068465813912,0.7999999999999998
llama2_13b,mesopotamian_place,mean,33,all,150,25,False,-0.3537894077212307,1.0308461812194056,0.42188632597069337,0.2452728213712874,-0.49668604962263985,1.247045444642505,0.34277000034394817,0.23021853101135212,0.02735544796922529,0.5133172738725185
llama2_13b,mesopotamian_place,mean,33,bare,25,25,False,-0.6140581199168331,1.4556230486321562,0.2598555578747557,0.3140913131417963,-0.5878689992202878,1.4030339624528165,0.26988153622684086,0.31386808017659457,-0.36617852624614006,0.7999999999999998
llama2_13b,mesopotamian_place,mean,34,all,150,25,False,-0.37577264506292435,1.0745617933259535,0.4122540887721189,0.24663955300773197,-0.5040329017559436,1.2385723430797004,0.3348193645137897,0.23237369524423193,0.06606836234855623,0.5146788581533474
llama2_13b,mesopotamian_place,mean,34,bare,25,25,False,-0.6103871305715027,1.4171784275738093,0.26724029975678765,0.3152240337807526,-0.5945922313377724,1.3886183773611231,0.27817699834298987,0.3126150610246459,-0.45584724520299724,0.7999999999999998
llama2_13b,mesopotamian_place,mean,35,all,150,25,False,-0.40007745067273476,1.0904476324322627,0.39824338652238894,0.2567451438980566,-0.5145786670711259,1.245427267178751,0.3314958608585127,0.23870031683584828,0.15652054309997177,0.5337410380849528
llama2_13b,mesopotamian_place,mean,35,bare,25,25,False,-0.6192610791776529,1.4388718791149908,0.26475328893283023,0.3202451444141478,-0.6080254512420792,1.4095248773962916,0.2704269983429899,0.318669847059467,-0.4761774449745624,0.7999999999999998
llama2_13b,mesopotamian_place,mean,36,all,150,25,False,-0.41172633953457777,1.0918042567589328,0.38367766068574666,0.2614493422074742,-0.5219985753654218,1.2379366336437365,0.32239101706248297,0.23809913552164125,0.09372937787906754,0.5146788581533472
llama2_13b,mesopotamian_place,mean,36,bare,25,25,False,-0.6379514887738624,1.479991650188818,0.24153576187293666,0.33174018705518943,-0.6274084667280699,1.433567009974342,0.24816400916694734,0.3310818405851458,-0.3081296973888796,0.7999999999999998
llama2_13b,mesopotamian_place,mean,37,all,150,25,False,-0.4569993837688085,1.150194505844793,0.36010288774687793,0.2670679946337877,-0.5702300166640397,1.3244010836483968,0.3079011947311691,0.2386885553785381,0.04412914489982567,0.5078709367492025
llama2_13b,mesopotamian_place,mean,37,bare,25,25,False,-0.6434536111640887,1.4508081330336438,0.24379225646095798,0.3375989779715209,-0.6366763040303479,1.436957072015068,0.24643349293101122,0.33487241166955345,-0.43247252473491127,0.8999999999999998
llama2_13b,mesopotamian_place,mean,38,all,150,25,False,-0.4830263236237486,1.1567082079436903,0.3434834688077136,0.27465561016876633,-0.6162402712342228,1.3829031799088585,0.287408023731454,0.24319667780410595,0.03945464109592489,0.4983398467833998
llama2_13b,mesopotamian_place,mean,38,bare,25,25,False,-0.6805134839274678,1.4798961068477035,0.21529225646095795,0.34992925564700755,-0.6997407056150817,1.5223470199387001,0.2206640091669473,0.35102770760375607,-0.48937983461268747,0.8999999999999998
llama2_13b,mesopotamian_place,mean,39,all,150,25,False,-0.48704978474934085,1.1324405165534572,0.32438782235862695,0.2742158830665644,-0.6561610436093579,1.4050121172280272,0.24496713049465882,0.2407797876499613,0.0492176694766977,0.48200083541345223
