level,language,salience,cleaning,pooling,probe,protocol,metric,target,arm,value
fragment,EN,obscure,tier0,last,ridge,ruler_MC_r8,r2,year,llama2_13b_random,0.1718
fragment,EN,obscure,tier0,mean,ridge,ruler_MC_r8,spearman,year,llama2_13b_random,0.63
fragment,EN,obscure,tier0,mean,ridge,ruler_MC_r8,r2,year,llama2_13b_random,0.4537
fragment,AKK,obscure,maximal,last,ridge,ruler_MC_r8,spearman,year,llama2_70b_random,0.3046
fragment,AKK,obscure,maximal,last,ridge,ruler_MC_r8,r2,year,llama2_70b_random,0.1184
fragment,AKK,obscure,maximal,mean,ridge,ruler_MC_r8,spearman,year,llama2_70b_random,0.5876
fragment,AKK,obscure,maximal,mean,ridge,ruler_MC_r8,r2,year,llama2_70b_random,0.3982
fragment,EN,obscure,tier0,last,ridge,ruler_MC_r8,spearman,year,llama2_70b_random,0.2876
fragment,EN,obscure,tier0,last,ridge,ruler_MC_r8,r2,year,llama2_70b_random,0.1054
fragment,EN,obscure,tier0,mean,ridge,ruler_MC_r8,spearman,year,llama2_70b_random,0.6612
fragment,EN,obscure,tier0,mean,ridge,ruler_MC_r8,r2,year,llama2_70b_random,0.4836
fragment,AKK,obscure,maximal,text,ridge,ruler_MC_r8,spearman,year,tfidf,0.7072
fragment,AKK,obscure,maximal,text,ridge,ruler_MC_r8,r2,year,tfidf,0.5034
fragment,EN,obscure,tier0,text,ridge,ruler_MC_r8,spearman,year,tfidf,0.7749
fragment,EN,obscure,tier0,text,ridge,ruler_MC_r8,r2,year,tfidf,0.5665
entity,EN,obscure,rows_bare,ent_last,ridge,entity_MC,spearman,year,llama2_70b,0.6843
entity,EN,obscure,rows_bare,ent_last,ridge,entity_MC,r2,year,llama2_70b,0.3508
entity,EN,obscure,rows_bare,ent_last,pls5,entity_MC,spearman,year,llama2_70b,0.6913
entity,EN,obscure,rows_bare,ent_last,pls5,entity_MC,r2,year,llama2_70b,0.3646
