level,language,salience,cleaning,pooling,probe,protocol,metric,target,arm,value,readout
fragment,AKK,obscure,maximal,last,ridge,ruler_MC_r8_group,spearman,year,llama2_7b_random,0.1513,pls
fragment,AKK,obscure,maximal,mean,ridge,ruler_MC_r8_group,spearman,year,llama2_7b_random,0.2799,pls
fragment,EN,obscure,tier0,last,ridge,ruler_MC_r8_group,spearman,year,llama2_7b_random,0.1829,pls
fragment,EN,obscure,tier0,mean,ridge,ruler_MC_r8_group,spearman,year,llama2_7b_random,0.2325,pls
fragment,AKK,obscure,maximal,last,ridge,ruler_MC_r8_group,spearman,year,llama2_13b_random,0.1421,pls
fragment,AKK,obscure,maximal,mean,ridge,ruler_MC_r8_group,spearman,year,llama2_13b_random,0.2722,pls
fragment,EN,obscure,tier0,last,ridge,ruler_MC_r8_group,spearman,year,llama2_13b_random,0.1497,pls
fragment,EN,obscure,tier0,mean,ridge,ruler_MC_r8_group,spearman,year,llama2_13b_random,0.2601,pls
fragment,AKK,obscure,maximal,last,ridge,ruler_MC_r8_group,spearman,year,llama2_70b_random,0.1091,pls
fragment,AKK,obscure,maximal,mean,ridge,ruler_MC_r8_group,spearman,year,llama2_70b_random,0.3223,pls
fragment,EN,obscure,tier0,last,ridge,ruler_MC_r8_group,spearman,year,llama2_70b_random,0.1146,pls
fragment,EN,obscure,tier0,mean,ridge,ruler_MC_r8_group,spearman,year,llama2_70b_random,0.2809,pls
fragment,AKK,obscure,maximal,text,ridge,ruler_MC_r8_group,spearman,year,tfidf,-0.0158,pls
fragment,EN,obscure,tier0,text,ridge,ruler_MC_r8_group,spearman,year,tfidf,0.0665,pls
entity,EN,obscure,rows_bare,ent_last,ridge,entity_MC_heldout_entities,spearman,year,llama2_70b,0.6913,pls5
entity,EN,obscure,rows_bare,ent_last,ridge,entity_MC_heldout_entities,r2,year,llama2_70b,0.3646,pls5
entity,EN,obscure,rows_all,ent_last,ridge,entity_MC_heldout_entities,spearman,year,llama2_70b,0.6903,pls5
entity,EN,obscure,rows_all,ent_last,ridge,entity_MC_heldout_entities,r2,year,llama2_70b,0.3973,pls5
entity,EN,obscure,rows_bare,ent_mean,ridge,entity_MC_heldout_entities,spearman,year,llama2_70b,0.4663,pls5
entity,EN,obscure,rows_bare,ent_mean,ridge,entity_MC_heldout_entities,r2,year,llama2_70b,-0.1076,pls5
entity,EN,obscure,rows_all,ent_mean,ridge,entity_MC_heldout_entities,spearman,year,llama2_70b,0.4472,pls5
entity,EN,obscure,rows_all,ent_mean,ridge,entity_MC_heldout_entities,r2,year,llama2_70b,-0.1198,pls5
entity,EN,obscure,rows_bare,last,ridge,entity_MC_heldout_entities,spearman,year,llama2_70b,0.6913,pls5
entity,EN,obscure,rows_bare,last,ridge,entity_MC_heldout_entities,r2,year,llama2_70b,0.3646,pls5
entity,EN,obscure,rows_all,last,ridge,entity_MC_heldout_entities,spearman,year,llama2_70b,0.643,pls5
entity,EN,obscure,rows_all,last,ridge,entity_MC_heldout_entities,r2,year,llama2_70b,0.3224,pls5
entity,EN,obscure,rows_bare,mean,ridge,entity_MC_heldout_entities,spearman,year,llama2_70b,0.4054,pls5
entity,EN,obscure,rows_bare,mean,ridge,entity_MC_heldout_entities,r2,year,llama2_70b,-0.26,pls5
entity,EN,obscure,rows_all,mean,ridge,entity_MC_heldout_entities,spearman,year,llama2_70b,0.4902,pls5
entity,EN,obscure,rows_all,mean,ridge,entity_MC_heldout_entities,r2,year,llama2_70b,-0.0636,pls5
entity,EN,obscure,rows_bare,ent_last,ridge,entity_MC_heldout_entities,spearman,year,gpt_oss_120b,0.6304,pls5
entity,EN,obscure,rows_bare,ent_last,ridge,entity_MC_heldout_entities,r2,year,gpt_oss_120b,0.309,pls5
entity,EN,obscure,rows_all,ent_last,ridge,entity_MC_heldout_entities,spearman,year,gpt_oss_120b,0.6752,pls5
entity,EN,obscure,rows_all,ent_last,ridge,entity_MC_heldout_entities,r2,year,gpt_oss_120b,0.3845,pls5
entity,EN,obscure,rows_bare,ent_mean,ridge,entity_MC_heldout_entities,spearman,year,gpt_oss_120b,0.468,pls5
entity,EN,obscure,rows_bare,ent_mean,ridge,entity_MC_heldout_entities,r2,year,gpt_oss_120b,-0.2674,pls5
entity,EN,obscure,rows_all,ent_mean,ridge,entity_MC_heldout_entities,spearman,year,gpt_oss_120b,0.4925,pls5
entity,EN,obscure,rows_all,ent_mean,ridge,entity_MC_heldout_entities,r2,year,gpt_oss_120b,-0.13,pls5
entity,EN,obscure,rows_bare,last,ridge,entity_MC_heldout_entities,spearman,year,gpt_oss_120b,0.6629,pls5
entity,EN,obscure,rows_bare,last,ridge,entity_MC_heldout_entities,r2,year,gpt_oss_120b,0.3714,pls5
entity,EN,obscure,rows_all,last,ridge,entity_MC_heldout_entities,spearman,year,gpt_oss_120b,0.6083,pls5
entity,EN,obscure,rows_all,last,ridge,entity_MC_heldout_entities,r2,year,gpt_oss_120b,0.2038,pls5
entity,EN,obscure,rows_bare,mean,ridge,entity_MC_heldout_entities,spearman,year,gpt_oss_120b,0.3559,pls5
entity,EN,obscure,rows_bare,mean,ridge,entity_MC_heldout_entities,r2,year,gpt_oss_120b,-0.4601,pls5
entity,EN,obscure,rows_all,mean,ridge,entity_MC_heldout_entities,spearman,year,gpt_oss_120b,0.5016,pls5
entity,EN,obscure,rows_all,mean,ridge,entity_MC_heldout_entities,r2,year,gpt_oss_120b,-0.1126,pls5
entity,EN,obscure,rows_bare,ent_last,ridge,entity_MC_heldout_entities,spearman,year,llama2_13b,0.5811,pls5
entity,EN,obscure,rows_bare,ent_last,ridge,entity_MC_heldout_entities,r2,year,llama2_13b,0.2246,pls5
entity,EN,obscure,rows_all,ent_last,ridge,entity_MC_heldout_entities,spearman,year,llama2_13b,0.5741,pls5
entity,EN,obscure,rows_all,ent_last,ridge,entity_MC_heldout_entities,r2,year,llama2_13b,0.2488,pls5
entity,EN,obscure,rows_bare,ent_mean,ridge,entity_MC_heldout_entities,spearman,year,llama2_13b,0.3925,pls5
