regime,model,cleaning,pool,layer,year_transform,spearman_mean,spearman_std,r2_mean,r2_std,mae_mean,mae_std,mase_mean,mdape_mean,shuffled_spearman_mean,shuffled_r2_mean,n_valid_folds_or_draws
imbalanced,thalesian_cunei400m,maximal,mean,10,raw,0.42016561820698844,0.25957559428079346,0.03256050398913742,0.05535638099354045,85.70513089814146,10.468616360233995,1.5733987304189299,7.892841888779226,0.010353910502967347,-0.017762945861679258,3
imbalanced,thalesian_cunei400m,maximal,mean,10,log,0.17698096857751347,0.10406162378484565,-0.11545209977961106,0.04541854546391424,94.96789006096276,5.792780142048369,1.7364780247907274,9.286806543952835,0.04677072302547291,-0.03924811129664111,3
imbalanced,thalesian_cunei400m,maximal,mean,11,raw,0.42697892675889754,0.274970212357312,0.04080236751943619,0.060782495019377644,84.99562937872491,10.005245347182676,1.5597754587225554,7.546107514712349,0.015445198160464912,-0.017893780750711796,3
imbalanced,thalesian_cunei400m,maximal,mean,11,log,0.18031357607099233,0.09743019258318515,-0.11699265829333028,0.047669104218203785,94.4421456757954,5.463834400522395,1.7266589844352742,9.083326578868844,0.055503946565012154,-0.03771697396470094,3
imbalanced,thalesian_cunei400m,maximal,mean,12,raw,0.3964782594060073,0.18649809216081678,0.09690714759719761,0.12040536081104623,78.19011600364742,5.281337111744419,1.4227875022686647,6.821776766458345,0.016810860850930535,-0.05979902375484617,3
imbalanced,thalesian_cunei400m,maximal,mean,12,log,0.24467127119382312,0.1947451408465325,-0.41438838174467,0.19497785662327544,105.2046922776301,2.8791002728692985,1.9150307122654808,9.990809473623438,0.029274162739760707,-0.26524351144882025,3
imbalanced,thalesian_cunei400m,maximal,last,0,raw,,,,,,,,,,,0
imbalanced,thalesian_cunei400m,maximal,last,0,log,,,,,,,,,,,0
imbalanced,thalesian_cunei400m,maximal,last,1,raw,0.17230816183593292,0.061389107016640146,-0.0037182914082877216,0.006029868936779657,89.15836277320697,12.038944896599627,1.6384125698369647,8.805490815216364,0.037397258168725404,-0.020337220496394675,3
imbalanced,thalesian_cunei400m,maximal,last,1,log,-0.029205874681783206,0.09880516170084104,-0.04632641176709399,0.026714734436813947,96.31517159349903,4.876214156052157,1.7607518297757014,9.660558148885011,0.03704473427187804,-0.0423520168227007,3
imbalanced,thalesian_cunei400m,maximal,last,2,raw,0.1663775884586396,0.04124437295755118,-0.004400246546250042,0.005650514179719086,89.2301987417634,12.00820353202181,1.6396861909083238,8.805172829211918,0.04244498547965638,-0.02042965903284477,3
