regime,model,cleaning,pool,layer,year_transform,k,spearman_mean,spearman_std,r2_mean,r2_std,mae_mean,mae_std,mase_mean,mdape_mean,shuffled_spearman_mean,shuffled_r2_mean,n_valid_folds,n_total_folds,test,unit,headline_metric,headline_value,headline_std,n_valid_folds_or_draws,accuracy,accuracy_std,macro_f1,macro_f1_std,weighted_f1,weighted_f1_std,chance_accuracy,chance_macro_f1,shuffled_accuracy,shuffled_macro_f1,n_draws,k_used,isomap_spearman,isomap_pairwise_acc,isomap_neighbor_purity,isomap_neighbor_sigma,ebin_spearman,ebin_pairwise_acc,isomap_spearman_std,isomap_pairwise_acc_std,isomap_neighbor_purity_std,isomap_neighbor_sigma_std,pacc_full,pacc_loro_mean,drop,n_rulers,pacc_full_std,pacc_loro_mean_std,drop_std,condition,year_spearman_mean,year_spearman_std,year_mae_mean,year_mae_std,ruler_macro_f1_mean,ruler_macro_f1_std,variant,parse_errors,n_total,n_scoreable,extra,task,std,n_labeled,params_b,family,model_label,color,marker,model_order
balanced,qwen3_1b7,tier0,mean,L09,raw,,0.3714908555190879,0.0813930844821597,-0.5747908357627414,0.4122164867504371,46.001294801617966,2.363848974665299,0.9339207086868516,6.417509032889402,0.0119650184094107,-0.4034744382397061,200.0,,T1_year_pls,year,spearman_mean,0.3714908555190879,0.0813930844821597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,qwen,Qwen3 1.7B,#8fcf6e,o,5
balanced,qwen3_8b,tier0,mean,L01,raw,,0.3654555096617929,0.0682052447612484,-0.8673693066829279,0.3418241523450142,47.5476803704841,2.580900540079794,0.9558033894948867,6.878502315446644,0.0150145374104107,-0.2022818716776517,200.0,,T1_year_pls,year,spearman_mean,0.3654555096617929,0.0682052447612484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,qwen,Qwen3 8B,#4b8f3a,o,6
balanced,qwen3_32b,tier0,mean,L09,raw,,0.3987624248229299,0.0629136122536837,-0.7192293321270733,0.324361811909429,46.11203761238039,2.14290852167684,0.9266234672272142,6.4662547702214805,0.0257022174047236,-0.2796584585390806,200.0,,T1_year_pls,year,spearman_mean,0.3987624248229299,0.0629136122536837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,qwen,Qwen3 32B,#1f4d12,o,7
balanced_last,thalesian_akk300m,tier0,last,L07,raw,,0.2704175888899416,0.0820221537109139,-1.376491388475352,0.6667419773535208,50.1461826118781,2.8673995199240343,0.9948296767936512,7.1457692538547395,0.0117950613831176,-0.4344012393092916,200.0,,T1_year_pls,year,spearman_mean,0.2704175888899416,0.0820221537109139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,akkadian,Thalesian 300M,#d8602a,s,3
balanced_last,thalesian_cunei400m,tier0,last,L04,raw,,0.2582165933265278,0.0865265224252335,-1.5244979934742664,0.5235056966448037,52.87065770645877,3.1411771900062337,1.0492624000649209,7.535021623754824,0.0098062388209098,-0.4402785927149171,200.0,,T1_year_pls,year,spearman_mean,0.2582165933265278,0.0865265224252335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,akkadian,Thalesian 400M,#8b3a0e,s,4
balanced_last,qwen3_1b7,tier0,last,L27,raw,,0.2231264882262282,0.0780262143232696,-1.1006588708925784,0.3316886546568542,50.86325009396218,2.577219497081005,1.0175385905040306,7.445507383053617,0.0038376840919864,-0.4247745912088912,200.0,,T1_year_pls,year,spearman_mean,0.2231264882262282,0.0780262143232696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,qwen,Qwen3 1.7B,#8fcf6e,o,5
balanced_last,qwen3_8b,tier0,last,L35,raw,,0.1970254161150575,0.0821286329503195,-1.1833212102974822,0.347050216846622,52.22009161655401,2.5817292088216512,1.0452704338636398,7.687955883911003,0.0006116221198116,-0.3785598556265432,200.0,,T1_year_pls,year,spearman_mean,0.1970254161150575,0.0821286329503195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,qwen,Qwen3 8B,#4b8f3a,o,6
balanced_last,qwen3_32b,tier0,last,L63,raw,,0.1709713464351505,0.0873086186053471,-1.128573308886924,0.2883257607812707,52.02540593734319,2.5947232325797747,1.0438946480762803,7.583152627126481,-0.00841780831583,-0.3381826936278307,200.0,,T1_year_pls,year,spearman_mean,0.1709713464351505,0.0873086186053471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,qwen,Qwen3 32B,#1f4d12,o,7
balanced_last,random,tier0,last,L02,raw,,0.3338783694536527,0.0749548076682385,-0.3918686287667423,0.146246778432326,45.96664370623521,1.5897671718916544,0.9401015155621316,6.709071117399874,0.0020096556766211,-0.1946321189767474,200.0,,T1_year_pls,year,spearman_mean,0.3338783694536527,0.0749548076682385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,random,Random-init 8B,#7a4ec0,X,8
imbalanced,tfidf,tier0,na,0,raw,5.0,0.5013040567764927,0.1315986611953767,0.0795577671967758,0.0906212740856969,74.19865826986988,6.137926081528797,1.3625239431856626,5.67854488375361,-0.0515108151644776,-0.5731696827632992,3.0,5.0,T1_year_pls,year,spearman_mean,0.5013040567764927,0.1315986611953767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,surface,TF-IDF (char n-gram),#1f6fb4,D,1
imbalanced,mlm,tier0,mean,2,raw,2.0,-0.1154342423223879,0.2887333430899552,-152.89555727141294,215.3576938918063,139.51063108544346,74.2165110320125,3.279917823229534,9.776693829691984,-0.08185766659009,-0.1025186004627651,3.0,5.0,T1_year_pls,year,spearman_mean,-0.1154342423223879,0.2887333430899552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0367,akkadian,MLM 37M,#f4a259,s,2
imbalanced,thalesian_akk300m,tier0,mean,7,raw,3.0,0.4346267278451288,0.1975839315396707,0.0690490029169787,0.0955067836831807,76.53883748559885,7.051267722145072,1.3928384281239985,6.2046604685479245,0.0303475393729851,-0.0689470311738118,3.0,5.0,T1_year_pls,year,spearman_mean,0.4346267278451288,0.1975839315396707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,akkadian,Thalesian 300M,#d8602a,s,3
imbalanced,thalesian_cunei400m,tier0,mean,12,raw,2.0,0.4670254104250972,0.2600338153371784,0.1054522483337473,0.1195367806843153,75.09736410568955,9.429466985944224,1.3599744383435286,6.518227983869434,-0.0025615744446326,-0.0839578155457549,3.0,5.0,T1_year_pls,year,spearman_mean,0.4670254104250972,0.2600338153371784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,akkadian,Thalesian 400M,#8b3a0e,s,4
imbalanced,qwen3_1b7,tier0,mean,6,raw,3.0,0.48428206512244,0.1862560833829679,0.1040873410116427,0.0876572857645022,75.12511407434027,7.124646001396112,1.3671555173612528,5.4380369736177245,0.0246742099342408,-0.0762003285295164,3.0,5.0,T1_year_pls,year,spearman_mean,0.48428206512244,0.1862560833829679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,qwen,Qwen3 1.7B,#8fcf6e,o,5
imbalanced,qwen3_8b,tier0,mean,26,raw,3.0,0.4819717760556263,0.1979639523255232,0.1080964084757409,0.1013898822865778,77.79350577811691,7.803325307508022,1.4152147899641665,6.368388239855292,0.0066059636467945,-0.1083366484282466,3.0,5.0,T1_year_pls,year,spearman_mean,0.4819717760556263,0.1979639523255232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,qwen,Qwen3 8B,#4b8f3a,o,6
imbalanced,qwen3_32b,tier0,mean,26,raw,3.0,0.5104678804608147,0.2200115684706123,0.1240826814803505,0.114764446682424,74.69539099928856,10.11444175872064,1.3553709652607753,5.615716668577673,0.0273582469602215,-0.1075551788526463,3.0,5.0,T1_year_pls,year,spearman_mean,0.5104678804608147,0.2200115684706123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,qwen,Qwen3 32B,#1f4d12,o,7
imbalanced,random,tier0,mean,3,raw,2.0,0.4131934674074892,0.2056465766724136,0.1033336746088833,0.1173621262696968,78.05771044021152,4.454377297805372,1.4179336687110442,6.427891302130816,-0.0101411379926135,-0.1136125701574744,3.0,5.0,T1_year_pls,year,spearman_mean,0.4131934674074892,0.2056465766724136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,random,Random-init 8B,#7a4ec0,X,8
balanced,tfidf,tier0,na,L00,raw,,0.3545122603800439,0.0686343446277206,-0.2127124593057143,0.1068606643030925,43.918286079527846,1.4666827778641398,,,,,,,T2_year_ridge,year,spearman_mean,0.3545122603800439,0.0686343446277206,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,surface,TF-IDF (char n-gram),#1f6fb4,D,1
balanced,mlm,tier0,mean,L01,raw,,0.4078930721767133,0.0608639559114987,-0.2764692875023498,0.1263679900682703,45.35806035117497,1.3393236849391763,,,,,,,T2_year_ridge,year,spearman_mean,0.4078930721767133,0.0608639559114987,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0367,akkadian,MLM 37M,#f4a259,s,2
balanced,thalesian_akk300m,tier0,mean,L00,raw,,0.3118767708498393,0.0691804443355672,-0.2275238117847424,0.0996762459854755,47.08050121731228,1.155287665754411,0.976654907802638,6.9254363750665835,0.0149250361847196,-0.0420096914048737,,,T2_year_ridge,year,spearman_mean,0.3118767708498393,0.0691804443355672,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,akkadian,Thalesian 300M,#d8602a,s,3
balanced,thalesian_cunei400m,tier0,mean,L12,raw,,0.383773901697019,0.0625655671544586,-0.1067500847368724,0.0835404802749852,42.88320950704908,1.1989157027106916,0.8791180870382774,6.288168999582447,0.031326826901937,-0.0459674870210008,,,T2_year_ridge,year,spearman_mean,0.383773901697019,0.0625655671544586,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,akkadian,Thalesian 400M,#8b3a0e,s,4
balanced,qwen3_1b7,tier0,mean,L00,raw,,0.3523490248636612,0.0676969091434195,-0.2981594284909271,0.1229856862402704,46.714224720303974,1.23059590842877,,,,,,,T2_year_ridge,year,spearman_mean,0.3523490248636612,0.0676969091434195,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,qwen,Qwen3 1.7B,#8fcf6e,o,5
balanced,qwen3_8b,tier0,mean,L01,raw,,0.3318982837906262,0.0724379321695658,-0.1151756304644281,0.037904747388711,47.39893393864707,0.5588877179201002,,,,,,,T2_year_ridge,year,spearman_mean,0.3318982837906262,0.0724379321695658,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,qwen,Qwen3 8B,#4b8f3a,o,6
balanced,qwen3_32b,tier0,mean,L06,raw,,0.3264177181182755,0.0689455399958337,-0.1367347702689732,0.0762895804532781,46.64037251305958,0.8708751221091569,,,,,,,T2_year_ridge,year,spearman_mean,0.3264177181182755,0.0689455399958337,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,qwen,Qwen3 32B,#1f4d12,o,7
balanced,random,tier0,mean,L05,raw,,0.3454100149707252,0.091219321358228,-0.307727950143796,0.1483459504254317,45.38195219736251,1.6945212236073846,0.9308208707079608,6.5467019753009446,0.0118332798954708,-0.0866251574947407,,,T2_year_ridge,year,spearman_mean,0.3454100149707252,0.091219321358228,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,random,Random-init 8B,#7a4ec0,X,8
balanced_last,thalesian_akk300m,tier0,last,L06,raw,,0.226426256205974,0.0821008345362681,-0.220962156230905,0.0016752525607454,49.32078771924216,0.0827458746960959,1.029726909267134,7.943815041148318,0.0107531780247676,-0.0323263393812622,,,T2_year_ridge,year,spearman_mean,0.226426256205974,0.0821008345362681,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,akkadian,Thalesian 300M,#d8602a,s,3
balanced_last,thalesian_cunei400m,tier0,last,L05,raw,,0.1530460005664408,0.0814304669920914,-0.2205873674865444,0.0016912523542715,49.31631174965511,0.0832639552940812,1.0296470254138412,7.939657243724364,-0.0002968766544467,-0.0323267857500057,,,T2_year_ridge,year,spearman_mean,0.1530460005664408,0.0814304669920914,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,akkadian,Thalesian 400M,#8b3a0e,s,4
balanced_last,qwen3_1b7,tier0,last,L05,raw,,0.1288189334548292,0.0922997369723225,-0.3707133070025189,0.1286492372673256,49.15788564772833,1.348152716266388,1.0202451253432503,7.468390271124922,0.0040466551359003,-0.0798397733568519,,,T2_year_ridge,year,spearman_mean,0.1288189334548292,0.0922997369723225,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,qwen,Qwen3 1.7B,#8fcf6e,o,5
balanced_last,qwen3_8b,tier0,last,L05,raw,,0.1037942690345931,0.0973479023289335,-0.4121105085829057,0.1314503219639689,49.63794977823893,1.4261018940846222,1.0270464280919878,7.591154020783518,0.0045418008973682,-0.0896280270678369,,,T2_year_ridge,year,spearman_mean,0.1037942690345931,0.0973479023289335,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,qwen,Qwen3 8B,#4b8f3a,o,6
balanced_last,qwen3_32b,tier0,last,L08,raw,,0.1215898544731427,0.0971044950477927,-0.3945144505076339,0.132997044271205,49.25391551184275,1.4318428504424914,1.0197808617488315,7.414987144230028,0.0049983751069903,-0.0906391159179995,,,T2_year_ridge,year,spearman_mean,0.1215898544731427,0.0971044950477927,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,qwen,Qwen3 32B,#1f4d12,o,7
balanced_last,random,tier0,last,L02,raw,,0.3121933174240008,0.0794671818499399,-0.159985099668815,0.0837833964842219,46.025334714859255,1.0887427084435526,0.9550902992512952,7.000440917665202,-0.0005898043072034,-0.0698514326907867,,,T2_year_ridge,year,spearman_mean,0.3121933174240008,0.0794671818499399,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,random,Random-init 8B,#7a4ec0,X,8
imbalanced,tfidf,tier0,na,0,raw,,0.4661231632226144,0.1728841124142208,0.1295359632002548,0.1002792677951249,74.51508181453482,10.548034074713664,1.3757873150120323,6.422952578162598,-0.0226252163331475,-0.0578644753343462,,,T2_year_ridge,year,spearman_mean,0.4661231632226144,0.1728841124142208,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,surface,TF-IDF (char n-gram),#1f6fb4,D,1
imbalanced,mlm,tier0,mean,3,raw,,0.3754855808927673,0.1905310156609319,0.0640394316419645,0.069999579508779,81.36385308695355,6.931783062962566,1.4873846741355548,7.044464191208408,-0.0122787245363961,-0.0451894483887371,,,T2_year_ridge,year,spearman_mean,0.3754855808927673,0.1905310156609319,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0367,akkadian,MLM 37M,#f4a259,s,2
imbalanced,thalesian_akk300m,tier0,mean,3,raw,,0.4139083186810605,0.2192785393218135,0.0423555714430945,0.0570053747920904,82.40251489719796,10.252924513299911,1.512082548254171,7.133279542468492,0.016860087525452,-0.0335085454018582,,,T2_year_ridge,year,spearman_mean,0.4139083186810605,0.2192785393218135,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,akkadian,Thalesian 300M,#d8602a,s,3
imbalanced,thalesian_cunei400m,tier0,mean,9,raw,,0.4596792396045336,0.3322628661158553,0.0243480738267863,0.043063365655522,85.53094050413023,10.628939391179266,1.5704944082633236,8.310614017093847,-0.0117926046391708,-0.0239095739203415,,,T2_year_ridge,year,spearman_mean,0.4596792396045336,0.3322628661158553,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,akkadian,Thalesian 400M,#8b3a0e,s,4
imbalanced,qwen3_1b7,tier0,mean,2,raw,,0.4436986421307096,0.2639071688206001,0.0913441937744143,0.0855538269339675,80.64961114838398,7.1081736455504565,,,,,,,T2_year_ridge,year,spearman_mean,0.4436986421307096,0.2639071688206001,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,qwen,Qwen3 1.7B,#8fcf6e,o,5
imbalanced,qwen3_8b,tier0,mean,2,raw,,0.4392725763921376,0.2695138813058859,0.0902352183487939,0.077537422185208,81.65358418361514,7.384893206814597,,,,,,,T2_year_ridge,year,spearman_mean,0.4392725763921376,0.2695138813058859,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,qwen,Qwen3 8B,#4b8f3a,o,6
imbalanced,qwen3_32b,tier0,mean,62,raw,,0.4293578667352194,0.2683410617844184,0.0502223889241238,0.0601139245154707,84.46385955549812,9.014752981574697,,,,,,,T2_year_ridge,year,spearman_mean,0.4293578667352194,0.2683410617844184,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,qwen,Qwen3 32B,#1f4d12,o,7
imbalanced,random,tier0,mean,6,raw,,0.3687490916652058,0.1825936343413914,0.0983752329610945,0.0804185515025785,80.3249015248491,1.4584701066912211,1.4622587974048635,7.180638886676424,-0.0614100181939662,-0.1249478324633153,,,T2_year_ridge,year,spearman_mean,0.3687490916652058,0.1825936343413914,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,random,Random-init 8B,#7a4ec0,X,8
balanced,tfidf,tier0,na,L00,,,,,,,,,,,,,,,T3b_ruler_plsda,ruler,macro_f1,0.4795703110829659,0.0367702359161452,,0.5486470588235294,0.0362616408431332,0.4795703110829659,0.0367702359161452,0.4797601726354352,0.036983172433404,0.125,0.125,0.1064875222816399,0.0849249391463724,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,surface,TF-IDF (char n-gram),#1f6fb4,D,1
balanced,mlm,tier0,mean,L14,,,,,,,,,,,,,,,T3b_ruler_plsda,ruler,macro_f1,0.3945796927949502,0.0422926322063023,,0.4420704099821747,0.035787542236647,0.3945796927949502,0.0422926322063023,0.3955686145836035,0.0426976858726185,0.125,0.125,0.1108672014260249,0.0955034866305995,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0367,akkadian,MLM 37M,#f4a259,s,2
balanced,thalesian_akk300m,tier0,mean,L03,,,,,,,,,,,,,,,T3b_ruler_plsda,ruler,macro_f1,0.3457191995504495,0.0390690376465069,,0.3948235294117647,0.036443473575483,0.3457191995504495,0.0390690376465069,0.3463286909287106,0.0391414024187992,0.125,0.125,0.1086862745098039,0.0912954523074105,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,akkadian,Thalesian 300M,#d8602a,s,3
