model,variant,pool,layer,task,headline_metric,headline_value,std,n_labeled,extra
qwen3_32b,pv3,last,L16,year,spearman_mean_year_raw,0.30962978187887663,0.04035893299600225,40,k=5 r2=0.06443820255235595 mae=88.70409372636358
qwen3_32b,pv3,last,L32,ruler,macro_f1_mean,0.0765437269498358,0.006986225451910558,1150,accuracy=0.32782608695652177 chance=0.058823529411764705 weighted_f1=0.24873595956414887
qwen3_32b,pv3,last,L32,year,spearman_mean_year_raw,0.37642668512867794,0.10158076725941036,40,k=5 r2=0.1299524540882077 mae=84.39485031085515
qwen3_32b,pv3,last,L48,ruler,macro_f1_mean,0.08811900766815853,0.006687330165583037,1150,accuracy=0.35304347826086957 chance=0.058823529411764705 weighted_f1=0.28106961064007935
qwen3_32b,pv3,last,L48,year,spearman_mean_year_raw,0.3050450939558633,0.053876741377603544,40,k=5 r2=0.05142606332107724 mae=87.60775131160113
qwen3_32b,pv3,last,L63,ruler,macro_f1_mean,0.06782427677256445,0.0073894160331665045,1150,accuracy=0.31565217391304345 chance=0.058823529411764705 weighted_f1=0.22586006469064696
qwen3_32b,pv3,last,L63,year,spearman_mean_year_raw,0.3434999849117326,0.12427795918584685,40,k=3 r2=0.09352409849232397 mae=83.28723913201702
qwen3_32b,pv3,mean,L00,ruler,macro_f1_mean,0.13278351471365207,0.0031599658585455504,1150,accuracy=0.43999999999999995 chance=0.058823529411764705 weighted_f1=0.37508687736393426
qwen3_32b,pv3,mean,L00,year,spearman_mean_year_raw,0.35936387635195827,0.11167833120685201,40,k=3 r2=0.08294405202660167 mae=85.72513269238652
qwen3_32b,pv3,mean,L16,ruler,macro_f1_mean,0.06736604740953826,0.003336103122568951,1150,accuracy=0.33217391304347826 chance=0.058823529411764705 weighted_f1=0.23000899713627962
qwen3_32b,pv3,mean,L16,year,spearman_mean_year_raw,0.4467671986102803,0.24009377307991836,40,k=2 r2=0.1557208946773353 mae=79.6959664550421
qwen3_32b,pv3,mean,L32,ruler,macro_f1_mean,0.08208569210632674,0.0027864496952989754,1150,accuracy=0.33826086956521734 chance=0.058823529411764705 weighted_f1=0.264279792067985
qwen3_32b,pv3,mean,L32,year,spearman_mean_year_raw,0.4399501101781995,0.22481583438433583,40,k=2 r2=0.14274029818353376 mae=79.32525093265922
qwen3_32b,pv3,mean,L48,ruler,macro_f1_mean,0.08377782120643815,0.005253937476809809,1150,accuracy=0.348695652173913 chance=0.058823529411764705 weighted_f1=0.27097947409724965
qwen3_32b,pv3,mean,L48,year,spearman_mean_year_raw,0.42677681206985296,0.22901196022265355,40,k=3 r2=0.11617534837399131 mae=81.0580208203394
qwen3_32b,pv3,mean,L63,ruler,macro_f1_mean,0.08063551447758656,0.0034201955528015983,1150,accuracy=0.3556521739130435 chance=0.058823529411764705 weighted_f1=0.2667464867473563
qwen3_32b,pv3,mean,L63,year,spearman_mean_year_raw,0.4312600461869233,0.2448192152366586,40,k=2 r2=0.10665580917864222 mae=79.11689092544678
