method,cleaning,pool,layer,k_used,isomap_spearman,isomap_pairwise_acc,isomap_neighbor_purity,isomap_neighbor_sigma,ebin_spearman,ebin_pairwise_acc
qwen3_1b7,tier0,last,28,4,0.10645505871654236,0.5548913763412372,0.7706621961441744,6.202818452499402,0.03333437235228565,0.526063054709233
qwen3_1b7,tier0,mean,0,3,0.12610329321724867,0.6077957345343754,0.7782062028499581,8.597353484447392,0.17860332081459718,0.6023259151322471
qwen3_1b7,tier0,mean,1,3,0.24959959137192364,0.7232966838874906,0.7909471919530596,13.61726647919952,0.14534603487739478,0.5776924095906742
qwen3_1b7,tier0,mean,2,3,0.18270357555125058,0.6456649887402305,0.7962279966471082,13.630950604731009,0.1631625707918814,0.593489203868062
qwen3_1b7,tier0,mean,3,3,0.1807895671717649,0.6332571643043229,0.7806370494551551,9.159379163829291,0.019572746454149432,0.4965227182408266
qwen3_1b7,tier0,mean,4,3,0.14702582960284735,0.6297854020400053,0.7789606035205365,8.004791013508365,0.020670362897986072,0.47299863116527574
qwen3_1b7,tier0,mean,5,3,0.07633669238542201,0.5635569832648916,0.7979882648784576,14.202285838581796,0.006244368429142867,0.4502196758952621
qwen3_1b7,tier0,mean,6,3,0.07812815194612918,0.49104737934384246,0.7982397317686506,16.259946654352465,0.0364453871651837,0.4944253101956109
qwen3_1b7,tier0,mean,7,4,0.06018155244607105,0.5381176314743674,0.7937133277451803,12.79647665940948,0.007365109899733449,0.5374056166379653
qwen3_1b7,tier0,mean,8,4,0.08397571808108928,0.5119055504040271,0.7870913663034367,8.52630495824269,0.011916794867500965,0.484374310063143
qwen3_1b7,tier0,mean,9,27,0.1316440161596281,0.6134642557513137,0.766219614417435,4.489495362555269,0.06271897635996221,0.4826522276681238
qwen3_1b7,tier0,mean,10,18,0.10958172445928191,0.5819700181039431,0.76756077116513,6.669541768759254,0.08801052357526279,0.5125402923124476
qwen3_1b7,tier0,mean,11,16,0.09341029762245828,0.5760586391133483,0.7569991617770326,3.1582961572505344,0.06448438741592363,0.5003366891862057
qwen3_1b7,tier0,mean,12,14,0.15665562082833137,0.620954210270676,0.7706621961441743,5.691244428199809,0.05742941396699847,0.48966750562988476
qwen3_1b7,tier0,mean,13,8,0.1828723161481534,0.5578608645736742,0.762615255658005,4.662787114188625,0.06594606379089508,0.5058561840420365
qwen3_1b7,tier0,mean,14,14,0.11803575169395769,0.5965083675542014,0.7649622799664711,5.624896730923773,0.08451164881655165,0.5106471055768976
qwen3_1b7,tier0,mean,15,19,0.15995984480157352,0.6203415463416788,0.774685666387259,7.256238677970335,0.08382341284064018,0.5174581622289928
qwen3_1b7,tier0,mean,16,15,0.14942119979000457,0.6036726718770699,0.7658843252305113,4.382293407020874,0.07972667055220743,0.5139808804698194
qwen3_1b7,tier0,mean,17,5,0.10592490023555433,0.6031262418863426,0.7632020117351216,4.009279592698448,0.052296146961121955,0.5181425795911159
qwen3_1b7,tier0,mean,18,10,0.08234154466444442,0.5848015189649843,0.7590947191953059,3.1443518590407344,0.06993417369775443,0.5218958360930808
qwen3_1b7,tier0,mean,19,7,0.17269035583451564,0.6466033028657218,0.7799664710813077,9.225308677724476,0.09168408652005482,0.5236896719212257
qwen3_1b7,tier0,mean,20,4,0.15941266465492085,0.5400328961893408,0.773595976529757,8.276643947774437,0.02756004857731752,0.4835187883604892
qwen3_1b7,tier0,mean,21,4,0.15765958040025355,0.623791230626573,0.7846605196982397,12.622678157451253,0.014811005680782733,0.4463008345476222
qwen3_1b7,tier0,mean,22,4,0.16257361855969835,0.631590276857862,0.7739312657166806,7.136705417104329,0.023401740885266444,0.5567956020664989
qwen3_1b7,tier0,mean,23,3,0.11180891625155057,0.5829138517242902,0.7536462699077955,2.259462670787434,0.022121751857836432,0.5667693292709851
qwen3_1b7,tier0,mean,24,3,0.08122183905483492,0.5326422925773833,0.7665549036043587,5.815538702324208,0.045919324734710776,0.5643131540601404
qwen3_1b7,tier0,mean,25,3,0.10852015128517956,0.5652459486907758,0.7708298407376363,7.536269172768288,0.048205036577602806,0.5610952885591911
qwen3_1b7,tier0,mean,26,3,0.13995254081021988,0.6025411754316244,0.768650461022632,5.9158822899820755,0.03670724394314605,0.534739700622599
qwen3_1b7,tier0,mean,27,3,0.11337742859539911,0.5452377798383892,0.7646269907795474,6.357326608885484,0.0014723010111240846,0.4459420673819932
qwen3_1b7,tier0,mean,28,3,0.13312408487705507,0.5896641939329712,0.7673093042749373,5.248302306063772,0.006301364300407485,0.49517044200114807
qwen3_32b,maximal,last,0,50,0.017742418940124707,0.5063143021150704,0.7996647108130763,10.62793581493381,,0.0
qwen3_32b,maximal,last,1,34,0.02238920063735495,0.5111935355676248,0.7830678960603521,9.19661352787965,0.09388424640061958,0.5415617962644059
qwen3_32b,maximal,last,2,23,0.053504636179517194,0.5238662957566124,0.780637049455155,8.560040923042582,0.08455651786507506,0.5464134322426811
qwen3_32b,maximal,last,3,15,0.06619542217394649,0.5286296198171944,0.77837384744342,6.625392454252599,0.06862879469602823,0.5496037002693513
qwen3_32b,maximal,last,4,16,0.0760223320850324,0.5314224842142448,0.7798826487845767,7.573148746372328,0.046804349522385026,0.5221442133615931
qwen3_32b,maximal,last,5,16,0.0684741727687296,0.5215757053914426,0.7846605196982398,9.200491851635197,0.046012022852474035,0.5306663134189958
qwen3_32b,maximal,last,6,16,0.06108729947318196,0.5250916236146068,0.7714165968147528,6.221598397797598,0.053899061460206066,0.5432562811851459
qwen3_32b,maximal,last,7,16,0.027823538993335614,0.5052490396078951,0.784241408214585,9.739986255399803,0.03721104194270107,0.5406345211286263
qwen3_32b,maximal,last,8,16,0.03476872045965605,0.504338322956683,0.7632858340318526,4.349746262063965,0.030443807465790777,0.514742570759924
qwen3_32b,maximal,last,9,14,0.029758502614060902,0.5027707864176271,0.7721709974853311,6.416810358255267,0.032911832294510536,0.5232646708173267
qwen3_32b,maximal,last,10,16,0.0268517531957952,0.49834967103810657,0.7673093042749373,5.629185854988739,0.04461969641279033,0.5259250673378373
qwen3_32b,maximal,last,11,16,0.025046798947405583,0.49700291429328386,0.7720871751886,6.225679729529909,0.044254795476814705,0.5327195655053649
qwen3_32b,maximal,last,12,16,0.01704386444630661,0.4908431580341767,0.7680637049455155,5.017257692743069,0.05665284735717845,0.5278513710425222
qwen3_32b,maximal,last,13,16,0.01937789282993537,0.4925817989137634,0.7734283319362951,7.420783337205312,0.05000712531876366,0.5298218307060538
qwen3_32b,maximal,last,14,16,0.03205401107900526,0.5025500066233938,0.7775356244761108,8.509328833848505,0.03793839640595412,0.5199695323883958
qwen3_32b,maximal,last,15,16,0.028656362424852762,0.5009548726100588,0.7745180217937971,8.890603873021584,0.02734340841527329,0.5008610411975096
qwen3_32b,maximal,last,16,16,0.039445183576489226,0.5071753433125801,0.7694048616932104,6.388576380792669,0.024303142616377067,0.49966883030865017
qwen3_32b,maximal,last,17,16,0.042297825668491135,0.5130315273546165,0.7653813914501258,4.912041692732875,0.024999766780471968,0.49632953592087253
qwen3_32b,maximal,last,18,13,0.01751593148626279,0.49093146995187,0.7699916177703269,6.478563642404962,0.010975054002861912,0.4875756170795249
qwen3_32b,maximal,last,19,13,0.024740474247029357,0.49158828983971387,0.7692372170997486,6.265084794783186,0.042627459473415716,0.5026438380359429
qwen3_32b,maximal,last,20,14,0.013079426975496208,0.4789541661147172,0.7701592623637887,6.304756204018567,0.04712062917660597,0.4995529209166777
qwen3_32b,maximal,last,21,13,0.041777483562202976,0.495236675939418,0.7689857502095558,6.28576172838862,0.0398501990217277,0.5007064953415463
qwen3_32b,maximal,last,22,13,0.02898096063925839,0.4841424912791981,0.7617770326906956,4.5550403114341975,0.03842241349088554,0.5004525985781781
qwen3_32b,maximal,last,23,12,0.031647115130063595,0.550232922682916,0.7647108130762783,5.098940922919273,0.025696840996822786,0.49887402304941053
qwen3_32b,maximal,last,24,12,0.006638311721335965,0.46657945864794453,0.772338642078793,5.618006900148898,0.03241338626518619,0.5085165805625469
qwen3_32b,maximal,last,25,12,0.028290956077543616,0.55434494635051,0.7690695725062867,6.4038451773545875,0.0164993996711494,0.49104737934384246
qwen3_32b,maximal,last,26,13,0.005620500245612577,0.4620755508455866,0.7692372170997486,5.6792730934313616,0.022632344870645683,0.49103082085927496
qwen3_32b,maximal,last,27,14,0.017864280665888254,0.5465734975935003,0.7736797988264879,7.498316905513038,0.03904060566101651,0.5103987283083852
