regime,model,cleaning,pool,layer,year_transform,k,spearman_mean,spearman_std,r2_mean,r2_std,mae_mean,mae_std,mase_mean,mdape_mean,shuffled_spearman_mean,shuffled_r2_mean,n_valid_folds,n_total_folds
imbalanced,thalesian_cunei400m,tier0,mean,11,raw,1,0.4235224130314587,0.3421076859848947,0.10296204258454178,0.14489868277039594,74.62921077071076,9.410121203473514,1.3528810731402086,6.115240217250886,-0.013437611531606788,-0.05363927005127741,3,5
imbalanced,thalesian_cunei400m,tier0,mean,11,raw,2,0.46598779883085933,0.25480938193235103,0.10420478793576533,0.1128246384411841,74.72898257932657,9.298517013768448,1.3529348741567153,6.477969902517265,0.03276029225551754,-0.09897824652281358,3,5
imbalanced,thalesian_cunei400m,tier0,mean,11,raw,3,0.4589032125012003,0.25676594925533686,0.12473751532166517,0.1269046316514442,76.08495337366124,10.069030803483784,1.3781129217879993,6.224780481131584,0.022750517863955756,-0.14695117805686256,3,5
imbalanced,thalesian_cunei400m,tier0,mean,11,raw,5,0.3994332972896328,0.19717091577084714,0.03836046186831136,0.12360694083727301,84.60958690155697,6.14898025626133,1.5360942365431403,7.498326395226457,0.0363001325167776,-0.14932833140433596,3,5
imbalanced,thalesian_cunei400m,tier0,mean,11,log,1,0.10334210323160294,0.09386977756853865,-0.0030374640409207934,0.0374947882833471,0.2363377163592386,0.02887835995057737,1.9839984561275366,1.910698418303794,0.00827301350278821,-0.03921542156487182,3,5
imbalanced,thalesian_cunei400m,tier0,mean,11,log,2,0.4047448448099242,0.1431442058992782,0.002515283745003205,0.10711607573524912,0.2485594010524602,0.0459617979675519,2.0885913584573026,1.6245127615456727,-0.013454896451464806,-0.0715574747616808,3,5
imbalanced,thalesian_cunei400m,tier0,mean,11,log,3,0.18981206048338053,0.06500336454003725,-0.08443821214170207,0.12919172452754607,0.2910435204978557,0.038449678716834766,2.431848622712375,2.1936342485204325,0.009948766535893822,-0.09084285368255933,3,5
imbalanced,thalesian_cunei400m,tier0,mean,11,log,5,0.22478732259648485,0.07268506447758706,-0.23749952459594204,0.20033851210071477,0.33062792956626547,0.019096437431713176,2.75185798416025,2.581254787952243,0.007561878289222876,-0.0899496334224333,3,5
imbalanced,thalesian_cunei400m,tier0,mean,12,raw,1,0.42878223111269714,0.3410932587055059,0.10348062944768643,0.14557847553457348,76.39393792054808,8.277204588084599,1.387526004101094,6.664905856847767,-0.01715854405234336,-0.04165371317468488,3,5
imbalanced,thalesian_cunei400m,tier0,mean,12,raw,2,0.4670254104250972,0.2600338153371784,0.10545224833374738,0.11953678068431535,75.09736410568955,9.429466985944225,1.3599744383435286,6.518227983869434,-0.002561574444632689,-0.08395781554575499,3,5
imbalanced,thalesian_cunei400m,tier0,mean,12,raw,3,0.4475174784045968,0.25559196919289534,0.09925067348558181,0.13098799306802367,77.8548316244856,9.255111037206515,1.410918872863352,6.3650662667396105,-0.009966143445535048,-0.13384549287344397,3,5
imbalanced,thalesian_cunei400m,tier0,mean,12,raw,5,0.37923774486008854,0.18130538650683167,-0.0643609616205086,0.13625046235806665,88.2623147906797,4.220786739155401,1.603923094036813,8.072363114700208,-0.006464393961097675,-0.1817422171267693,3,5
imbalanced,thalesian_cunei400m,tier0,mean,12,log,1,0.10584005337724696,0.10209121372826768,-0.015870656760553065,0.038867132796434625,0.24045093594325717,0.02783199769570464,2.0176268750163633,2.032443572260425,-0.01654332452383113,-0.03629657814812607,3,5
imbalanced,thalesian_cunei400m,tier0,mean,12,log,2,0.38368785555770585,0.13416309319336073,-0.016491424385463544,0.10069706433100507,0.24800679521857516,0.03765809994029389,2.080915959998449,1.4387589916422383,-0.045088486773624877,-0.06991724961340336,3,5
imbalanced,thalesian_cunei400m,tier0,mean,12,log,3,0.2386318843751479,0.10497041616468282,-0.16739378570517216,0.1451508035698369,0.2967509634007066,0.02201463561473461,2.4694428952682337,2.1918439963199297,-0.041088558738508814,-0.08539961422464064,3,5
imbalanced,thalesian_cunei400m,tier0,mean,12,log,5,0.23330041229840692,0.09205508427034849,-0.35350975802355084,0.2595980929904568,0.3399937506649818,0.009761555590034327,2.8251006802924574,2.5868035252882993,-0.029575966908266804,-0.0984137688581365,3,5
imbalanced,thalesian_cunei400m,tier0,last,0,raw,1,,,,,,,,,,,,
