regime,model,cleaning,pool,layer,k,accuracy,accuracy_std,macro_f1,macro_f1_std,weighted_f1,weighted_f1_std,chance_accuracy,chance_macro_f1,shuffled_accuracy,shuffled_macro_f1,n_draws
imbalanced,mlm,tier0,mean,3,5,0.4669575042370222,0.020060600021434807,0.07087398626762302,0.008377579811173206,0.40030087673954284,0.019416511519759722,0.30011198208286677,0.02631578947368421,0.2788399974891721,0.03393561931857785,
imbalanced,mlm,tier0,mean,4,5,0.48598958006402604,0.014721483361109624,0.08055569910089341,0.004401301840833644,0.42136614262769695,0.018221840478870693,0.30011198208286677,0.02631578947368421,0.28443286673780677,0.034981434400361985,
imbalanced,mlm,tier0,mean,5,5,0.49270604481827884,0.01399400331723032,0.07971976145143185,0.006955485991494811,0.4317227816177514,0.011329322702588879,0.30011198208286677,0.02631578947368421,0.2754754880421819,0.03362130587543584,
imbalanced,mlm,tier0,mean,6,5,0.4904651308769067,0.013772503525039094,0.07900541862759924,0.00722291639007881,0.4300712541312103,0.01338842109993018,0.30011198208286677,0.02631578947368421,0.27659280647793605,0.03376069693977282,
imbalanced,mlm,tier0,mean,7,5,0.4859644717845709,0.024625149083564366,0.09071838086716326,0.005585101877119494,0.4344510439025605,0.026697735188819148,0.30011198208286677,0.02631578947368421,0.2832904400225974,0.035365335378940654,
imbalanced,mlm,tier0,mean,8,5,0.48376749733224533,0.021799753042922445,0.09252079659805415,0.008529646963549947,0.4356478075705542,0.023226410128050518,0.30011198208286677,0.02631578947368421,0.2877597137656142,0.03520915136102103,
imbalanced,mlm,tier0,mean,9,5,0.4915824493126609,0.02738739172806993,0.09507175051254653,0.008355564423510582,0.4435996591629327,0.02842876878226202,0.30011198208286677,0.02631578947368421,0.29000690477685015,0.035834320084885476,
imbalanced,mlm,tier0,mean,10,5,0.4882367710752621,0.02316904155639528,0.09096381104622746,0.004487979831169779,0.4386081324528385,0.025518986752174906,0.30011198208286677,0.02631578947368421,0.2844140355282154,0.034867711053149376,
imbalanced,mlm,tier0,mean,11,5,0.4848659845584081,0.022982601330296372,0.09184908580558535,0.005768257638949596,0.4369755142744223,0.02563100140111273,0.30011198208286677,0.02631578947368421,0.28999435063712264,0.035806209816768395,
imbalanced,mlm,tier0,mean,12,5,0.49606427719540525,0.028124387532987922,0.0946049054988341,0.007404056595692328,0.4466896446434626,0.031140844411488917,0.30011198208286677,0.02631578947368421,0.29339652250329545,0.03593932138698544,
imbalanced,mlm,tier0,mean,13,5,0.5128931015002196,0.026870393377356253,0.09731297409051118,0.012833673466890145,0.4636854989771952,0.02776545011803689,0.30011198208286677,0.02631578947368421,0.29450756386918586,0.03650487397697417,
imbalanced,mlm,tier0,mean,14,5,0.5106710187684389,0.02029237957617636,0.09396435714780609,0.008168396094439732,0.4608917706006734,0.022829491438695625,0.30011198208286677,0.02631578947368421,0.29005084426589667,0.03527176736507427,
imbalanced,mlm,tier0,mean,15,5,0.5240976712070805,0.013804779448743316,0.10380163945559522,0.010420334675785932,0.47520728116365785,0.014375637737103082,0.30011198208286677,0.02631578947368421,0.27661163768752745,0.0343871737685976,
imbalanced,mlm,tier0,mean,16,5,0.5341535371288683,0.017075319216214205,0.10639873548401282,0.009959579530981916,0.48557843435452536,0.01784394048642083,0.30011198208286677,0.02631578947368421,0.2754754880421819,0.0337477945567695,
imbalanced,tfidf,tier0,na,0,5,0.5777666185424644,0.03182646138120264,0.11276988989975698,0.016158607280238452,0.4823723794699757,0.052050422163329835,0.30011198208286677,0.02631578947368421,0.27546921097231813,0.029973096803544798,
imbalanced,tfidf,maximal,na,0,5,0.5318937919779048,0.010643241659545916,0.10131677983508532,0.01286307882553974,0.4277506996153537,0.01207140168908025,0.30011198208286677,0.02631578947368421,0.2810495260812253,0.030907188122843016,
imbalanced,qwen3_1b7,tier0,mean,0,5,0.40483808586195985,0.030846574127634783,0.09329509297330638,0.01763163938540551,0.32797613974277584,0.02965079358175414,0.22464375523889354,0.025,0.2120706022994972,0.028122160041837225,
imbalanced,qwen3_1b7,tier0,mean,1,5,0.3922576562005555,0.01760850232147607,0.08343221094471906,0.007389709058877653,0.32215465766987716,0.016790674471054607,0.22464375523889354,0.025,0.2170985549031328,0.027123020821160887,
imbalanced,qwen3_1b7,tier0,mean,2,5,0.37634752645828207,0.017521852293611213,0.07883904687611776,0.007843088890429138,0.30396589597734547,0.01598743144928219,0.22464375523889354,0.025,0.207067262051264,0.025202526568985438,
