entity_type,name,query,count,approx,index_used,target,century,short_name,error,abs_err,true,logc
historical_figure,August Wilhelmj,August Wilhelmj,1798,0,v4_olmo-mix-1124_llama,1908.0,1900,0,,72.59640430390118,1908.0,3.2550311633455515
historical_figure,Rudolf von Bennigsen,Rudolf von Bennigsen,291,0,v4_olmo-mix-1124_llama,1902.0,1900,0,,128.5837830515577,1902.0,2.4653828514484184
historical_figure,Wilhelm His,Wilhelm His,10191,0,v4_olmo-mix-1124_llama,1934.0,1900,0,,344.92914535073305,1934.0,4.008259414991275
historical_figure,Johann von Dallwitz,Johann von Dallwitz,23,0,v4_olmo-mix-1124_llama,1919.0,1900,0,,38.80440653408118,1919.0,1.380211241711606
historical_figure,Julius von Verdy du Vernois,Julius von Verdy du Vernois,519,0,v4_olmo-mix-1124_llama,1910.0,1900,0,,119.23436541066485,1910.0,2.716003343634799
historical_figure,Carl Benjamin Klunzinger,Carl Benjamin Klunzinger,27,0,v4_olmo-mix-1124_llama,1914.0,1900,0,,26.9347254275051,1914.0,1.4471580313422192
historical_figure,Rudolf Heinze,Rudolf Heinze,237,0,v4_olmo-mix-1124_llama,1928.0,1900,0,,69.75980402272239,1928.0,2.376576957056512
historical_figure,Max Wilms,Max Wilms,1149,0,v4_olmo-mix-1124_llama,1918.0,1900,0,,212.48015434727608,1918.0,3.060697840353612
historical_figure,Kurt Sethe,Kurt Sethe,2148,0,v4_olmo-mix-1124_llama,1934.0,1900,0,,10.63263426525441,1934.0,3.3322364154914434
historical_figure,Hermann Klaatsch,Hermann Klaatsch,1351,0,v4_olmo-mix-1124_llama,1916.0,1900,0,,90.33147105038915,1916.0,3.130976691605617
historical_figure,Morris Simmonds,Morris Simmonds,521,0,v4_olmo-mix-1124_llama,1925.0,1900,0,,186.4455361661412,1925.0,2.717670503002262
historical_figure,Adolf Miethe,Adolf Miethe,1158,0,v4_olmo-mix-1124_llama,1927.0,1900,0,,25.944625222800823,1927.0,3.064083435963596
historical_figure,Albert Schäffle,Albert Schäffle,787,0,v4_olmo-mix-1124_llama,1903.0,1900,0,,63.64233268800558,1903.0,2.8965262174895554
historical_figure,Meyer Kayserling,Meyer Kayserling,2023,0,v4_olmo-mix-1124_llama,1905.0,1900,0,,3.718532901272056,1905.0,3.3062105081677613
historical_figure,Albert Langen,Albert Langen,766,0,v4_olmo-mix-1124_llama,1909.0,1900,0,,38.05246815371902,1909.0,2.884795363948981
historical_figure,Ottomar Anschütz,Ottomar Anschütz,1129,0,v4_olmo-mix-1124_llama,1907.0,1900,0,,96.97755001266682,1907.0,3.0530784434834195
historical_figure,Sophus Ruge,Sophus Ruge,86,0,v4_olmo-mix-1124_llama,1903.0,1900,0,,107.10661858978756,1903.0,1.9395192526186185
historical_figure,Dietrich Brandis,Dietrich Brandis,1464,0,v4_olmo-mix-1124_llama,1907.0,1900,0,,145.19223359028751,1907.0,3.1658376246901283
historical_figure,Bernhard Adalbert Emil Koehne,Bernhard Adalbert Emil Koehne,18,0,v4_olmo-mix-1124_llama,1918.0,1900,0,,7.671976467198874,1918.0,1.2787536009528289
historical_figure,William Francis Hillebrand,William Francis Hillebrand,446,0,v4_olmo-mix-1124_llama,1925.0,1900,0,,21.439671548222805,1925.0,2.6503075231319366
historical_figure,August Wöhler,August Wöhler,366,0,v4_olmo-mix-1124_llama,1914.0,1900,0,,88.37733895739439,1914.0,2.5646660642520893
historical_figure,Gottlieb Graf von Haeseler,Gottlieb Graf von Haeseler,23,0,v4_olmo-mix-1124_llama,1919.0,1900,0,,327.231524124064,1919.0,1.380211241711606
historical_figure,Joseph Kürschner,Joseph Kürschner,256,0,v4_olmo-mix-1124_llama,1902.0,1900,0,,54.50216787126078,1902.0,2.4099331233312946
historical_figure,Lily Braun,Lily Braun,879,0,v4_olmo-mix-1124_llama,1916.0,1900,0,,16.39950555949281,1916.0,2.9444826721501687
historical_figure,Robert Louis August Maximilian Gürke,Robert Louis August Maximilian Gürke,26,0,v4_olmo-mix-1124_llama,1911.0,1900,0,,46.96380991493038,1911.0,1.4313637641589874
historical_figure,Fanny zu Reventlow,Fanny zu Reventlow,418,0,v4_olmo-mix-1124_llama,1918.0,1900,0,,134.80707743020048,1918.0,2.622214022966295
historical_figure,Karl Bulla,Karl Bulla,570,0,v4_olmo-mix-1124_llama,1929.0,1900,0,,156.70639612120885,1929.0,2.756636108245848
historical_figure,Rudolf Mosse,Rudolf Mosse,1011,0,v4_olmo-mix-1124_llama,1920.0,1900,0,,25.23110819348676,1920.0,3.0051805125037805
historical_figure,Wilhelm Lorenz,Wilhelm Lorenz,128,0,v4_olmo-mix-1124_llama,1918.0,1900,0,,51.37200996144111,1918.0,2.110589710299249
historical_figure,Herman Schalow,Herman Schalow,36,0,v4_olmo-mix-1124_llama,1925.0,1900,0,,66.05581384659922,1925.0,1.568201724066995
historical_figure,August Michaelis,August Michaelis,141,0,v4_olmo-mix-1124_llama,1916.0,1900,0,,72.73848088626119,1916.0,2.1522883443830563
historical_figure,Oskar Bülow,Oskar Bülow,26,0,v4_olmo-mix-1124_llama,1907.0,1900,0,,170.724576693809,1907.0,1.4313637641589874
historical_figure,Friedrich Trendelenburg,Friedrich Trendelenburg,1110,0,v4_olmo-mix-1124_llama,1924.0,1900,0,,8.44550896378928,1924.0,3.0457140589408676
historical_figure,Carl Harries,Carl Harries,244,0,v4_olmo-mix-1124_llama,1923.0,1900,0,,22.085803234969944,1923.0,2.3891660843645326
historical_figure,Franz Schwechten,Franz Schwechten,566,0,v4_olmo-mix-1124_llama,1924.0,1900,0,,97.9423792727357,1924.0,2.7535830588929064
historical_figure,Franz Bücheler,Franz Bücheler,143,0,v4_olmo-mix-1124_llama,1908.0,1900,0,,165.6037525170343,1908.0,2.1583624920952498
historical_figure,Christy Mathewson,Christy Mathewson,58039,0,v4_olmo-mix-1124_llama,1925.0,1900,0,,357.03090226211816,1925.0,4.7637274037656985
historical_figure,Karl Bernhard Zoeppritz,Karl Bernhard Zoeppritz,154,0,v4_olmo-mix-1124_llama,1908.0,1900,0,,75.71218668961797,1908.0,2.1903316981702914
historical_figure,Otto Benndorf,Otto Benndorf,423,0,v4_olmo-mix-1124_llama,1907.0,1900,0,,137.73073998415862,1907.0,2.6273658565927325
historical_figure,Cyrill Kistler,Cyrill Kistler,67,0,v4_olmo-mix-1124_llama,1907.0,1900,0,,171.4589525952324,1907.0,1.8325089127062364
historical_figure,Otto Pfleiderer,Otto Pfleiderer,801,0,v4_olmo-mix-1124_llama,1908.0,1900,0,,22.011275262399522,1908.0,2.9041743682841634
historical_figure,Carl von Voit,Carl von Voit,2514,0,v4_olmo-mix-1124_llama,1908.0,1900,0,,7.790389589533106,1908.0,3.400537989391946
historical_figure,Wilhelm Ahlwardt,Wilhelm Ahlwardt,166,0,v4_olmo-mix-1124_llama,1909.0,1900,0,,77.73116826416003,1909.0,2.2227164711475833
