method,variant,site,best_layer,m,draws,macro_acc,macro_sd,micro_acc,auc,auc_sd,ruler_pairs_tested,acc_d0.0_25.0,acc_d200.0_inf,acc_d25.0_75.0,acc_d75.0_200.0
qwen3_8b,eng_tier0,mean,19,100,10,0.6355813259082107,0.023253213479002877,0.5896167632909414,0.6147150122031833,0.03253228187498982,139.6,0.5094441742321245,0.6203990206904497,0.5196789727826714,0.6573159574796678
olmo2_7b,eng_tier0,mean,9,100,10,0.634426120280145,0.03493128208149422,0.6090455348081207,0.6406308101048267,0.03383096456656904,139.6,0.5566619460591031,0.6253174612923089,0.5037283777680488,0.7200360405308145
qwen3_8b,eng_tier0,mean,19,21,100,0.6266554901513804,0.04313625127591081,0.5965275174681571,0.631283178309348,0.040743865600581776,139.59,0.5306077429267606,0.6158842845518371,0.5615300269508837,0.6186642051835272
olmo2_7b,eng_tier0,mean,11,21,100,0.6151869531871818,0.036574583750879776,0.6064365438933375,0.6449804746697567,0.03677734095797811,139.59,0.5443538677380478,0.609574661937849,0.5542063426875091,0.6637070500346589
qwen3_32b,eng_tier0,mean,41,21,100,0.6098091382103769,0.03874172699186135,0.5897695549157969,0.625043813309687,0.036606365750370636,139.59,0.5170625446678173,0.600040785215512,0.548744956888366,0.6347064271426417
llama2_70b,eng_tier0,mean,33,100,10,0.6005904019069312,0.038172113432957316,0.5696208946489495,0.5944111187286151,0.04364066785690371,139.6,0.500241066404942,0.5740395838074484,0.5013467697798292,0.6675851024333674
qwen3_1b7,eng_tier0,mean,13,21,100,0.5904479616950908,0.04225588403787475,0.5808079229253579,0.6078355077541694,0.036476182940147796,139.59,0.5369587170185136,0.5925928592079628,0.5512051937542772,0.6020866096521758
tfidf_char,eng_tier0,mean,-1,21,100,0.586431966323262,0.037687083450113436,0.5689412059680076,0.5946496142755322,0.04553180527609244,139.45,0.4759983192259635,0.6112917255000039,0.5138646699830113,0.580631138851485
llama2_13b,eng_tier0,mean,35,21,100,0.5857510182187226,0.035716580995831956,0.568864497200721,0.5979233256597133,0.04009901186180763,139.59,0.517565223503925,0.5795001860936856,0.5253793772737861,0.6032882082116303
llama2_13b_random,eng_tier0,mean,3,21,100,0.5846146754991282,0.03976037785581197,0.5710670896144677,0.5927490744583251,0.044861968730904415,139.59,0.5353448856756524,0.5852894835124904,0.5253154780604441,0.6004313221986646
llama2_7b,eng_tier0,mean,31,21,100,0.5838847699928135,0.036966646147408085,0.5684150979667624,0.5928684575791494,0.036688590288992094,139.59,0.52319495267283,0.5506987400604799,0.536477947981122,0.6386382554999174
llama2_7b_random,eng_tier0,mean,11,21,100,0.5808291909115028,0.038032931327576645,0.557073339713928,0.5801420557215915,0.044350068070594446,139.59,0.5108448214473631,0.5980859651378314,0.48096808000191826,0.5669277872030366
llama2_70b_random,eng_tier0,mean,1,21,100,0.5767574193062306,0.03809022573091027,0.5627344388899667,0.5840677767117225,0.03960750760437955,139.59,0.505352238783012,0.5437907145425543,0.5339149713326136,0.6391168750277814
tfidf_char,eng_tier0,mean,-1,100,10,0.5765195155135535,0.03831144995622761,0.5835746803102086,0.6064076664715186,0.039476959437574906,139.5,0.4745295090213961,0.5901699101106914,0.5137008066084875,0.6430491830258029
random,eng_tier0,mean,9,21,100,0.57056600011076,0.04364656264032705,0.5638489759043498,0.5828234659435725,0.042289660585845844,139.59,0.508138271341339,0.5839349999400549,0.5095009099913747,0.5913203200677765
gpt_oss_120b,eng_tier0,mean,11,21,100,0.558830841749801,0.03705537886990907,0.556949708815276,0.575065917178151,0.04405491002453149,139.59,0.4999138780569916,0.5297327829741965,0.5588186691867465,0.6276181964382248
olmo2_7b_random,eng_tier0,mean,9,21,100,0.5534604508444803,0.04356362486269115,0.5456916335646677,0.5551859130847154,0.04561489774728217,139.59,0.5039375432973142,0.5909560866743339,0.48885894858338796,0.5319947043918724
