model,layer,spearman_mean,spearman_std
random,10,0.22253974730095297,0.1036788711409923
random,11,0.224996675777216,0.10449019065165834
random,12,0.22936245919377535,0.10348681707532398
random,13,0.23210193449626737,0.10475043745703982
random,14,0.2320919699029332,0.10442523432681493
random,15,0.2322558440360786,0.10422815713702549
random,16,0.23501875122474408,0.10365510104012124
random,17,0.23905240102948938,0.10234361601099964
random,18,0.2458712563002542,0.1010994086014655
random,19,0.24237671377264675,0.1012732941278172
random,20,0.24549180079442745,0.10179461609074125
random,21,0.2441974276540159,0.10310662943814773
random,22,0.2434120806665275,0.10298072605473672
random,23,0.24545507911353429,0.10234795952118625
random,24,0.24623968617202904,0.10281242853703763
random,25,0.2538100004335396,0.10218746192082896
random,26,0.2540039285677677,0.10278816814905598
random,27,0.25476067414684245,0.10233026736981492
random,28,0.2548523667906722,0.1021225307774805
