model,layer,spearman_mean,spearman_std
qwen3_32b,5,0.3365919948979615,0.06922472147545417
qwen3_32b,6,0.3398023914081095,0.0692201263590185
qwen3_32b,7,0.3124529739758076,0.07645651395897089
qwen3_32b,8,0.30268220241716665,0.07809913029123147
qwen3_32b,9,0.2982478867134801,0.07741292301645647
qwen3_32b,10,0.2978139056863687,0.07748202661026138
qwen3_32b,11,0.3012085415494444,0.07694138759426533
qwen3_32b,12,0.3013052923952912,0.07671963498751383
qwen3_32b,13,0.30069336916500433,0.07704820523152428
qwen3_32b,14,0.30015169092369276,0.07827413144368572
qwen3_32b,15,0.2998161303212004,0.07862065780467116
qwen3_32b,16,0.3012641581194653,0.0791911148343342
qwen3_32b,17,0.296572472838595,0.079657869265685
qwen3_32b,18,0.29900648589998263,0.08113312283788832
qwen3_32b,19,0.30583305805102384,0.08266868898495146
qwen3_32b,20,0.30815954227126907,0.08302702604559829
qwen3_32b,21,0.30899227855493827,0.08411732952148566
qwen3_32b,22,0.3074521131617482,0.08501960655395255
qwen3_32b,23,0.3083261182525226,0.08480750302830453
qwen3_32b,24,0.3053568973237606,0.08488802916537208
qwen3_32b,25,0.297324911743499,0.08522397399293387
qwen3_32b,26,0.3011009631522936,0.08474149790962186
qwen3_32b,27,0.3053794871042287,0.08143715694898662
qwen3_32b,28,0.2939400961619399,0.08065102569719282
qwen3_32b,29,0.29537408379651425,0.07853357292581956
qwen3_32b,30,0.29232804654256944,0.07723462572086685
qwen3_32b,31,0.2923089075176225,0.07772134369031158
qwen3_32b,32,0.2956633053612163,0.0781796483639633
qwen3_32b,33,0.27709145074365576,0.0785506115712875
qwen3_32b,34,0.27263468686793635,0.07797223494636399
qwen3_32b,35,0.27381297140545713,0.07901828814986002
qwen3_32b,36,0.28584721199856866,0.07875399625210563
qwen3_32b,37,0.2953544435466714,0.07822117184300678
qwen3_32b,38,0.30140189210555135,0.07809087066363701
qwen3_32b,39,0.294326970644259,0.08039617681164662
qwen3_32b,40,0.2924310702749323,0.08112081114837169
qwen3_32b,41,0.29293986904638025,0.08049412558504307
qwen3_32b,42,0.27722637362868574,0.08310378312415947
qwen3_32b,43,0.26456688976439524,0.08226449323466344
qwen3_32b,44,0.25605853062265377,0.0812472551309271
qwen3_32b,45,0.23976321383101046,0.08340750759901719
qwen3_32b,46,0.23322735029762134,0.08502218834194733
qwen3_32b,47,0.23981229857106584,0.08422480106439087
qwen3_32b,48,0.2519529170277366,0.08194224014538551
qwen3_32b,49,0.263169547695573,0.08110418338042646
qwen3_32b,50,0.24306404577178278,0.08372347823720727
qwen3_32b,51,0.2675898777150223,0.08209951271307499
qwen3_32b,52,0.26034486204602875,0.07981645390565707
qwen3_32b,53,0.271169381783649,0.08103674996776816
qwen3_32b,54,0.2861246310130848,0.07644645645372315
qwen3_32b,55,0.28361592174333167,0.07432108428972506
qwen3_32b,56,0.279981003932767,0.07411656405751939
qwen3_32b,57,0.2550919932297019,0.07403454856306825
qwen3_32b,58,0.2519779824261344,0.07241145774408639
qwen3_32b,59,0.25087958758009665,0.07171997795270499
qwen3_32b,60,0.24615537045446012,0.07183317578153053
qwen3_32b,61,0.2563300279620799,0.07069618887709964
qwen3_32b,62,0.25047760695778337,0.06893089090350503
qwen3_32b,63,0.2379494624843062,0.07113471042173634
qwen3_32b,64,0.22282120443485154,0.07351254925209844
random,0,0.25604782576789303,0.06993237309928847
random,1,0.284385169732148,0.07582149877071818
random,2,0.2832907405022558,0.07866897551021655
random,3,0.2967247746630205,0.07926420946149619
random,4,0.29474645040103803,0.08019634767483373
random,5,0.29290050832565334,0.08238380506388922
random,6,0.28865857225104735,0.08457324714903655
random,7,0.28627699314074556,0.08395911889782724
random,8,0.2778466801585459,0.08569387802549312
random,9,0.27853801789907207,0.08575783806058249
random,10,0.28455827506153475,0.08661926720172416
random,11,0.28272743892287266,0.08708276318151917
random,12,0.2854362473686695,0.08674879326391047
random,13,0.2863707502608679,0.08747488630996825
random,14,0.289113905046444,0.08699871987042855
random,15,0.2904170284189129,0.08710979714143852
random,16,0.29410111102427156,0.08719868700139932
random,17,0.29488062292410194,0.086549628949378
random,18,0.29611799416082074,0.08584428686043004
random,19,0.29469530081339906,0.0865713969822037
random,20,0.2953076121800769,0.08703465700848136
random,21,0.2914890580677407,0.08850388703478443
random,22,0.2910363418648909,0.08820113346558298
random,23,0.2927111491060361,0.08757932855818899
random,24,0.29311199054942927,0.08708725018521356
random,25,0.29928378630927477,0.08688128564796657
random,26,0.29911311949167985,0.08739527895055262
random,27,0.3003674846345267,0.08723383612662076
random,28,0.3010673671736116,0.0875680880997357
