family,arm,cleaning,layer,spearman_mean,spearman_std
qwen3_1b7,ft09,tier0,8,0.3502536486867851,0.08622467392167216
qwen3_1b7,ft09,tier0,9,0.3721085789221856,0.08142587125996843
qwen3_1b7,ft09,tier0,10,0.35607733069541714,0.0836625083096523
qwen3_1b7,ft09,tier0,11,0.3516415762466909,0.08658400653475429
qwen3_1b7,ft09,tier0,12,0.3469624020019987,0.08684393561736206
qwen3_1b7,ft09,tier0,13,0.3325429279715252,0.07998276262699924
qwen3_1b7,ft09,tier0,14,0.3247765710098181,0.08031357554032491
qwen3_1b7,ft09,tier0,15,0.3012856448091531,0.0824688853259943
qwen3_1b7,ft09,tier0,16,0.3015813006111267,0.08640529108626445
qwen3_1b7,ft09,tier0,17,0.3102902502513082,0.08886689404389053
qwen3_1b7,ft09,tier0,18,0.3267774752071442,0.08560378901348531
qwen3_1b7,ft09,tier0,19,0.3188645135247435,0.0858506339417499
qwen3_1b7,ft09,tier0,20,0.3320927753112183,0.08122451713782843
qwen3_1b7,ft09,tier0,21,0.3556387739970509,0.08240255687444864
qwen3_1b7,ft09,tier0,22,0.34791089561517213,0.08065469998678249
qwen3_1b7,ft09,tier0,23,0.3429223504834969,0.07901263647046554
qwen3_1b7,ft09,tier0,24,0.32747280429732867,0.07617910092978923
qwen3_1b7,ft09,tier0,25,0.34528722403246753,0.07150625030176892
qwen3_1b7,ft09,tier0,26,0.32698958975720105,0.07027200667549849
qwen3_1b7,ft09,tier0,27,0.3298077796519018,0.07255563015967553
qwen3_1b7,ft09,tier0,28,0.33227873813115866,0.0794786946092043
qwen3_1b7,ft19,maximal,0,0.2779092659051969,0.06721102684028453
qwen3_1b7,ft19,maximal,1,0.2780913361823729,0.06828298099234535
qwen3_1b7,ft19,maximal,2,0.3200079552532992,0.06890719215257719
qwen3_1b7,ft19,maximal,3,0.3364772206352876,0.07994738137698583
qwen3_1b7,ft19,maximal,4,0.34609194602722226,0.08581157112437586
qwen3_1b7,ft19,maximal,5,0.35420485562559106,0.08376744186276114
qwen3_1b7,ft19,maximal,6,0.34786083004541124,0.08213334582892237
qwen3_1b7,ft19,maximal,7,0.3488004204686325,0.07993712643360837
qwen3_1b7,ft19,maximal,8,0.34647636772409796,0.0829111833830426
qwen3_1b7,ft19,maximal,9,0.3555624612884762,0.08039154335697071
qwen3_1b7,ft19,maximal,10,0.32438018737379454,0.07960878121939624
qwen3_1b7,ft19,maximal,11,0.32183588764130294,0.07831057935738202
qwen3_1b7,ft19,maximal,12,0.3148096527385302,0.07873373517276698
qwen3_1b7,ft19,maximal,13,0.3070914476554365,0.0779826577606228
qwen3_1b7,ft19,maximal,14,0.3099236062593237,0.07813511465079208
qwen3_1b7,ft19,maximal,15,0.30357748569564363,0.07843379882017179
qwen3_1b7,ft19,maximal,16,0.2984813188726777,0.08049042221744797
qwen3_1b7,ft19,maximal,17,0.29491760555354135,0.08155175315076234
qwen3_1b7,ft19,maximal,18,0.29918434622179396,0.08274628538049653
qwen3_1b7,ft19,maximal,19,0.285166456925551,0.07657479288264527
qwen3_1b7,ft19,maximal,20,0.26993094533423884,0.07311112696908607
qwen3_1b7,ft19,maximal,21,0.27151773351808095,0.0767353632738947
qwen3_1b7,ft19,maximal,22,0.2810183274735079,0.07416060280601293
qwen3_1b7,ft19,maximal,23,0.28423656973662614,0.07331241251119022
qwen3_1b7,ft19,maximal,24,0.2792492186946404,0.07166706859260911
qwen3_1b7,ft19,maximal,25,0.2694362383776103,0.07193689640495633
qwen3_1b7,ft19,maximal,26,0.2567612569684018,0.07205808140874899
qwen3_1b7,ft19,maximal,27,0.24774581828959186,0.07477985053423919
qwen3_1b7,ft19,maximal,28,0.2317197029167158,0.0741472435281932
qwen3_1b7,ft19,tier0,0,0.3641767221484937,0.06583516639549683
qwen3_1b7,ft19,tier0,1,0.3515622027322032,0.07079310188313502
qwen3_1b7,ft19,tier0,2,0.35120783158557134,0.07182510711123286
qwen3_1b7,ft19,tier0,3,0.3168035668179974,0.07834035989991366
qwen3_1b7,ft19,tier0,4,0.32254340575925583,0.08577896065519382
qwen3_1b7,ft19,tier0,5,0.34559986828071443,0.08001090487798256
qwen3_1b7,ft19,tier0,6,0.31798909389852237,0.08073805652747845
qwen3_1b7,ft19,tier0,7,0.3285425833149458,0.0850624175652249
qwen3_1b7,ft19,tier0,8,0.3502536486867851,0.08622467392167216
qwen3_1b7,ft19,tier0,9,0.3721085789221856,0.08142587125996843
qwen3_1b7,ft19,tier0,10,0.35040968297484965,0.08585513049844398
qwen3_1b7,ft19,tier0,11,0.34253830650984424,0.0848886572387907
qwen3_1b7,ft19,tier0,12,0.3260123261141677,0.08880528770122129
qwen3_1b7,ft19,tier0,13,0.31445123279855997,0.0834347208302585
qwen3_1b7,ft19,tier0,14,0.3158293656540801,0.08477388143714987
qwen3_1b7,ft19,tier0,15,0.28631639344481036,0.08605517639053231
qwen3_1b7,ft19,tier0,16,0.27330985430024535,0.08848509064686857
qwen3_1b7,ft19,tier0,17,0.30734533567267036,0.08725036108539432
qwen3_1b7,ft19,tier0,18,0.29699394024261005,0.08851282316612398
qwen3_1b7,ft19,tier0,19,0.3055617486879607,0.08880800418164912
qwen3_1b7,ft19,tier0,20,0.3174173252408772,0.08386285207357212
qwen3_1b7,ft19,tier0,21,0.3332343538480357,0.08108050386282704
qwen3_1b7,ft19,tier0,22,0.3297936605555121,0.08303444304160217
qwen3_1b7,ft19,tier0,23,0.3255771057407493,0.08049236250161466
qwen3_1b7,ft19,tier0,24,0.29168633320859927,0.07631794225134325
qwen3_1b7,ft19,tier0,25,0.3149721221617632,0.07258523135202062
qwen3_1b7,ft19,tier0,26,0.30131462322828706,0.07137297080829604
qwen3_1b7,ft19,tier0,27,0.3102300721103444,0.07359059446310519
qwen3_1b7,ft19,tier0,28,0.3143117803724197,0.08197806963552237
qwen3_1b7,ft25,maximal,0,0.2779092659051969,0.06721102684028453
qwen3_1b7,ft25,maximal,1,0.2780913361823729,0.06828298099234535
qwen3_1b7,ft25,maximal,2,0.3200079552532992,0.06890719215257719
qwen3_1b7,ft25,maximal,3,0.3364772206352876,0.07994738137698583
qwen3_1b7,ft25,maximal,4,0.34609194602722226,0.08581157112437586
qwen3_1b7,ft25,maximal,5,0.35420485562559106,0.08376744186276114
qwen3_1b7,ft25,maximal,6,0.34786083004541124,0.08213334582892237
qwen3_1b7,ft25,maximal,7,0.3488004204686325,0.07993712643360837
qwen3_1b7,ft25,maximal,8,0.34647636772409796,0.0829111833830426
qwen3_1b7,ft25,maximal,9,0.3555624612884762,0.08039154335697071
qwen3_1b7,ft25,maximal,10,0.32438018737379454,0.07960878121939624
qwen3_1b7,ft25,maximal,11,0.32183588764130294,0.07831057935738202
qwen3_1b7,ft25,maximal,12,0.3148096527385302,0.07873373517276698
qwen3_1b7,ft25,maximal,13,0.3070914476554365,0.0779826577606228
qwen3_1b7,ft25,maximal,14,0.3099236062593237,0.07813511465079208
qwen3_1b7,ft25,maximal,15,0.30357748569564363,0.07843379882017179
qwen3_1b7,ft25,maximal,16,0.2984813188726777,0.08049042221744797
qwen3_1b7,ft25,maximal,17,0.29491760555354135,0.08155175315076234
qwen3_1b7,ft25,maximal,18,0.29918434622179396,0.08274628538049653
qwen3_1b7,ft25,maximal,19,0.285166456925551,0.07657479288264527
qwen3_1b7,ft25,maximal,20,0.2704798700066522,0.07348064039330272
qwen3_1b7,ft25,maximal,21,0.27162394525804623,0.07570643793284772
qwen3_1b7,ft25,maximal,22,0.28263512748258296,0.07338942151223682
qwen3_1b7,ft25,maximal,23,0.28414475609001905,0.07338079715734463
qwen3_1b7,ft25,maximal,24,0.28182577689326543,0.07068537826006284
qwen3_1b7,ft25,maximal,25,0.2737826387020047,0.07146726311533233
qwen3_1b7,ft25,maximal,26,0.261305017744524,0.07430614495377408
qwen3_1b7,ft25,maximal,27,0.24679396487775207,0.07665556535946842
qwen3_1b7,ft25,maximal,28,0.23393767685747008,0.07451980301647651
qwen3_1b7,ft25,tier0,0,0.3641767221484937,0.06583516639549683
qwen3_1b7,ft25,tier0,1,0.3515622027322032,0.07079310188313502
qwen3_1b7,ft25,tier0,2,0.35120783158557134,0.07182510711123286
qwen3_1b7,ft25,tier0,3,0.3168035668179974,0.07834035989991366
qwen3_1b7,ft25,tier0,4,0.32254340575925583,0.08577896065519382
qwen3_1b7,ft25,tier0,5,0.34559986828071443,0.08001090487798256
qwen3_1b7,ft25,tier0,6,0.31798909389852237,0.08073805652747845
qwen3_1b7,ft25,tier0,7,0.3285425833149458,0.0850624175652249
qwen3_1b7,ft25,tier0,8,0.3502536486867851,0.08622467392167216
qwen3_1b7,ft25,tier0,9,0.3721085789221856,0.08142587125996843
qwen3_1b7,ft25,tier0,10,0.35040968297484965,0.08585513049844398
qwen3_1b7,ft25,tier0,11,0.34253830650984424,0.0848886572387907
qwen3_1b7,ft25,tier0,12,0.3260123261141677,0.08880528770122129
qwen3_1b7,ft25,tier0,13,0.31445123279855997,0.0834347208302585
qwen3_1b7,ft25,tier0,14,0.3158293656540801,0.08477388143714987
qwen3_1b7,ft25,tier0,15,0.28631639344481036,0.08605517639053231
qwen3_1b7,ft25,tier0,16,0.27330985430024535,0.08848509064686857
qwen3_1b7,ft25,tier0,17,0.30734533567267036,0.08725036108539432
qwen3_1b7,ft25,tier0,18,0.29699394024261005,0.08851282316612398
qwen3_1b7,ft25,tier0,19,0.3055617486879607,0.08880800418164912
qwen3_1b7,ft25,tier0,20,0.3183257064994267,0.08335405625345298
qwen3_1b7,ft25,tier0,21,0.33451533267952577,0.08128870676009924
qwen3_1b7,ft25,tier0,22,0.3251566342153352,0.08083904357115464
qwen3_1b7,ft25,tier0,23,0.31926722061951907,0.08114603415607477
qwen3_1b7,ft25,tier0,24,0.29517583162090594,0.0774649181470914
qwen3_1b7,ft25,tier0,25,0.3084918069604361,0.07541590418062871
qwen3_1b7,ft25,tier0,26,0.3018878636374206,0.07603795294169757
qwen3_1b7,ft25,tier0,27,0.29938912843085375,0.07924491848874117
qwen3_1b7,ft25,tier0,28,0.31319974740365997,0.08785999922507257
qwen3_32b,base,maximal,0,0.2628800669597601,0.0697881579152919
qwen3_32b,base,maximal,1,0.2884588000792897,0.0710121656112785
qwen3_32b,base,maximal,2,0.2926609662405138,0.0697096937658647
qwen3_32b,base,maximal,3,0.3204374289454698,0.0685276866267718
qwen3_32b,base,maximal,4,0.3283981844825585,0.0687641841415062
qwen3_32b,base,maximal,5,0.3365919948979615,0.0692247214754541
qwen3_32b,base,maximal,6,0.3398023914081095,0.0692201263590185
qwen3_32b,base,maximal,7,0.3124529739758076,0.0764565139589708
qwen3_32b,base,maximal,8,0.3026822024171666,0.0780991302912314
qwen3_32b,base,maximal,9,0.2982478867134801,0.0774129230164564
qwen3_32b,base,maximal,10,0.2978139056863687,0.0774820266102613
qwen3_32b,base,maximal,11,0.3012085415494444,0.0769413875942653
qwen3_32b,base,maximal,12,0.3013052923952912,0.0767196349875138
qwen3_32b,base,maximal,13,0.3006933691650043,0.0770482052315242
qwen3_32b,base,maximal,14,0.3001516909236927,0.0782741314436857
qwen3_32b,base,maximal,15,0.2998161303212004,0.0786206578046711
qwen3_32b,base,maximal,16,0.3012641581194653,0.0791911148343342
qwen3_32b,base,maximal,17,0.296572472838595,0.079657869265685
qwen3_32b,base,maximal,18,0.2990064858999826,0.0811331228378883
