feature,fire_cellA,rho_year,cos_ridge,fire_cellB_rulers,fire_eng_tier0_frags,fire_akk_maximal_frags,np_label,np_category
2269,0.1513254295990408,-0.2334644907135155,-0.014461375,0.088235294117647,0.0951979780960404,0.0033698399326032,HTTPError: HTTP Error 404: Not Found,other
2685,0.153723191687758,-0.2333905050976376,-0.023170883,0.0,0.0033698399326032,0.0025273799494524,HTTPError: HTTP Error 404: Not Found,other
6086,0.5977088051152258,0.2308677846877675,-0.010311614,0.0392156862745098,0.0404380791912384,0.0724515585509688,HTTPError: HTTP Error 404: Not Found,other
16327,0.1430664712934594,-0.2284804277413165,-0.015555569,0.2107843137254902,0.113732097725358,0.1238416175231676,HTTPError: HTTP Error 404: Not Found,other
11370,0.2104702277873984,-0.2261079353793587,-0.047805313,0.0294117647058823,0.0353833192923336,0.0,HTTPError: HTTP Error 404: Not Found,other
15088,0.1240175835886505,-0.2259595461675976,-0.10449395,0.2156862745098039,0.0134793597304128,0.0,HTTPError: HTTP Error 404: Not Found,other
13432,0.0996403356866924,-0.2241008564473162,-0.020504888,0.0784313725490196,0.025273799494524,0.0067396798652064,HTTPError: HTTP Error 404: Not Found,other
10857,1.0,-0.2238203260057269,-0.024796275,1.0,0.582139848357203,0.9839932603201348,HTTPError: HTTP Error 404: Not Found,other
13545,0.0539496469961369,-0.2116618366451894,-0.03735141,0.0049019607843137,0.0160067396798652,0.0783487784330244,HTTPError: HTTP Error 404: Not Found,other
4693,0.2764086852271213,-0.2115932238737282,-0.008562926,0.0392156862745098,0.176916596461668,0.0269587194608256,HTTPError: HTTP Error 404: Not Found,other
12589,0.5682696150259757,0.2110459209664189,0.0015880355,0.0735294117647058,0.0454928390901432,0.0151642796967144,HTTPError: HTTP Error 404: Not Found,other
1510,0.3900359664313307,0.2046825775992111,-0.004458604,0.0245098039215686,0.0151642796967144,0.0235888795282224,HTTPError: HTTP Error 404: Not Found,other
7810,0.5044625016651125,-0.203014517822238,0.011862693,0.2107843137254902,0.8542544229149115,0.3176074136478517,HTTPError: HTTP Error 404: Not Found,other
10766,0.4094844811509258,0.1975557683517772,0.013589343,0.0441176470588235,0.0412805391743892,0.1196293176074136,HTTPError: HTTP Error 404: Not Found,other
4622,0.0691354735580125,-0.1931531905800645,0.0043187267,0.0441176470588235,0.0092670598146588,0.0101095197978096,HTTPError: HTTP Error 404: Not Found,other
11785,0.2187291860929799,0.1930218084286183,0.011409068,0.0049019607843137,0.0092670598146588,0.0008424599831508,HTTPError: HTTP Error 404: Not Found,other
13634,0.178233648594645,0.1917550803721916,0.017254144,0.0147058823529411,0.0101095197978096,0.0008424599831508,HTTPError: HTTP Error 404: Not Found,other
12043,0.1085653390169175,-0.1864583854716608,-0.018905105,0.0,0.0050547598989048,0.0,HTTPError: HTTP Error 404: Not Found,other
6272,0.1052351138936992,0.1836502169018777,0.03673485,0.0,0.0,0.0,HTTPError: HTTP Error 404: Not Found,other
13707,0.3456773677900626,0.1815798185843073,-0.014163106,0.0980392156862745,0.4035383319292334,0.7118786857624263,HTTPError: HTTP Error 404: Not Found,other
862,0.0764619688290928,-0.1807264229618367,0.0011100085,0.0,0.004212299915754,0.0,HTTPError: HTTP Error 404: Not Found,other
4725,0.7976555215132543,0.1801637562014993,-0.022820093,0.1127450980392156,0.2106149957877,0.3066554338668913,HTTPError: HTTP Error 404: Not Found,other
15266,0.2035433595311043,0.1797033245799793,0.017477918,0.0147058823529411,0.0008424599831508,0.0,HTTPError: HTTP Error 404: Not Found,other
9442,0.2606900226455308,0.1763873335391511,-0.0047127428,0.0,0.0109519797809604,0.0033698399326032,HTTPError: HTTP Error 404: Not Found,other
9593,0.4366591181563873,0.1763830870108023,0.041438267,0.0,0.033698399326032,0.0008424599831508,HTTPError: HTTP Error 404: Not Found,other
14067,0.2000799254029572,0.1673589827003423,0.002039271,0.0196078431372549,0.0016849199663016,0.0101095197978096,HTTPError: HTTP Error 404: Not Found,other
